"源字段","源字段中文注释","源别名","Facts作用域","JOIN直接对侧字段","同一表达式/分组其他来源字段","用途","不同消费任务数","不同SQL材料组数","任务ID","条件/表达式示例","任务级证据ID","细粒度Facts证据ID","统计口径与分母"
"bel_dept","所属部门","RB1；a；b；bb；rb","root.(child-5)；root.casttable；root.casttable.a；root.casttable.a.bb；root.casttable.a.bb.b；root.casttable.rb；root.casttable.setop.b0；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1；root.casttable.t1；root.setop.b0；root.setop.b1；root.srctab.setop.b0.setop.b0.setop.b1.rb","","","中间投影","11","10","107018；134167；143830；171179；200030；200078；209119；215700；234256；241773；243918","RB1.Bel_Dept AS Book_Bel_Dept；Bel_Dept as DEPARTMENT；rb.bel_dept as department","E-107018；E-134167；E-143830；E-171179；E-200030；E-200078；E-209119；E-215700；E-234256；E-241773；E-243918","FU-107018-15a8ba8e45d2；FU-107018-3354ed365979；FU-134167-f00de91f805e；FU-143830-944bb850c8cd；FU-171179-5e4b9e17f1cb；FU-171179-74927dc2cc55；FU-200030-b49844c42287；FU-200030-d63870100ce1；FU-200078-34d7cb75ef98；FU-200078-7ff9659a5a52；FU-209119-0db81688c635；FU-209119-1ab8b0d22a1c；FU-215700-301beb48ae6c；FU-234256-32535a826eb2；FU-234256-3fc9f337ec63；FU-234256-5cd7c73567c4；FU-234256-afdea749fb85；FU-241773-9275b66bbde2；FU-243918-f29c3fca4bb6；FU-243918-f6cd7583edd3","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_id","账簿协议编号","a","root.(child).setop.b0.setop.b0.rb；root.(child).setop.b0.setop.b1.rb；root.(child).setop.b1.rb；root.(child-1).t6；root.(child-2).t5；root.(child-5)；root.casttable；root.casttable.a.bb.b；root.casttable.rb；root.casttable.rb_ori；root.casttable.setop.b1.t_nom_prin.rb；root.casttable.t1；root.srctab.setop.b0.setop.b0.setop.b0.rb；root.srctab.setop.b0.setop.b0.setop.b1.rb","","","中间投影","10","9","134167；200030；200078；209119；209894；215700；221300；234256；241773；243918","Book_Agt_Id as KEY_BOOK_ID；Book_Agt_Id KEY_BOOK_ID；book_agt_id as key_book_id","E-134167；E-200030；E-200078；E-209119；E-209894；E-215700；E-221300；E-234256；E-241773；E-243918","FU-134167-22cd159f9755；FU-200030-9deaab1ec04e；FU-200078-5acae5a81831；FU-209119-12e144696035；FU-209119-1db57437a983；FU-209119-1f6533937f60；FU-209119-3c19293904c5；FU-209119-b90ff1964671；FU-209894-079ec2b36a25；FU-215700-220a84b9dbd9；FU-221300-76ffaabccdca；FU-221300-b7ff2d80b397；FU-234256-aec38c9f1dc3；FU-241773-1fcb86d98df9；FU-241773-7e08b92f3ace；FU-243918-51c3508f77a4；FU-243918-c9cfaa55f4e0","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_id","账簿协议编号","RB；RB1；rb；t5；t6","root.(child-1)；root.(child-2)；root.casttable；root.casttable.a；root.casttable.setop.b0；root.casttable.setop.b1.t_nom_prin；root.mt；root.setop.b0","pdata_n.t03_agt_rela_h.rela_agt_id","","JOIN关联","10","9","107018；114782；143830；184662；200030；200078；209894；215700；221300；234256","TOT1.Rela_Agt_Id = RB1.Book_Agt_Id；TOT.Rela_Agt_Id = RB.Book_Agt_Id；TOT1.rela_agt_id = RB.BOOK_agt_ID","E-107018；E-114782；E-143830；E-184662；E-200030；E-200078；E-209894；E-215700；E-221300；E-234256","FU-107018-025a76937a6b；FU-114782-24e6b79bcfa0；FU-114782-373cbdad9eec；FU-143830-651facfa2f80；FU-184662-49f6578ddd42；FU-184662-df7630fe1c84；FU-200030-314ed1ee6ba4；FU-200078-6fdea7e7f9ce；FU-209894-35f8c723ed9a；FU-215700-d29ffe44e106；FU-221300-127b0a40a3cd；FU-221300-d028adeaa0b1；FU-234256-73ea8c2ad72c","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_dept","所属部门","A","root","","","输出取值","9","8","134167；143830；145871；176610；200030；200078；209119；234256；243918","DEPARTMENT；department；A.Bel_Dept AS Bel_Dept","E-134167；E-143830；E-145871；E-176610；E-200030；E-200078；E-209119；E-234256；E-243918","FU-134167-267388bf9414；FU-143830-84d093928275；FU-145871-a9275adee445；FU-176610-b88400f4fce7；FU-200030-8fa469b6b11b；FU-200078-e63642dbe584；FU-209119-ef13fcbd90bf；FU-234256-99636fa117e3；FU-243918-e241004a90c9","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_dept","所属部门","book；rb","root.(child-1).t6；root.(child-2).t5；root.casttable；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.setop.b1.t_nom_prin.rb；root.casttable.t1；root.mt.rb；root.srctab.setop.b0.setop.b1","","","过滤条件","8","8","114782；138186；176610；184662；209894；221300；243650；243918","src_tbl='ODATA_N_TIT.D_REF_BOOK' AND Bel_Dept = 'OTC' AND busi_date= '2026-05-18'；src_tbl='ODATA_N_TIT.D_REF_BOOK' AND busi_date= '2026-05-18' and Bel_Dept = 'OTC'；rb.Bel_Dept = 'ED' OR (RT.Ext_Comp_No = 'TRS-GFED20250021' AND R.wind_cd_src = '300476.SZ') OR RT.Ext_Comp_No IN ('TRS-GFED20260001','TRS-GFED20260003','TRS-GFED20260006')","E-114782；E-138186；E-176610；E-184662；E-209894；E-221300；E-243650；E-243918","FU-114782-2c0c4174669c；FU-114782-946872e54008；FU-138186-04cb528272c7；FU-176610-6ded8dbb7037；FU-176610-78d2485c7007；FU-176610-c1dc326ad2eb；FU-184662-459b6e1e2536；FU-184662-8a9cd2c86804；FU-209894-1e3c1fc293b3；FU-209894-4246cfa2aa47；FU-209894-92c24cd511f6；FU-209894-cbef00b83ca9；FU-221300-5d5b1a9549e6；FU-221300-6cc96b3dc399；FU-243650-afcf376df924；FU-243918-756332a21136","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_id","账簿协议编号","RB；book；rb","root.casttable；root.casttable.setop.b0.setop.b0；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1；root.casttable.setop.b0.setop.b1；root.casttable.setop.b0.t.setop.b0.setop.b0；root.casttable.setop.b0.t.setop.b0.setop.b1；root.casttable.setop.b0.t.setop.b1；root.casttable.setop.b1；root.srctab.setop.b0.setop.b0.setop.b1；root.srctab.setop.b0.setop.b1","pdata_n.t98_sb_otc_swap_comp_info.book_agt_id","","JOIN关联","6","6","138186；171179；176610；209894；241773；243650","RT.Book_Agt_Id = RB.Book_Agt_Id；RT.Book_Agt_Id = rb.Book_Agt_Id；trs.Book_Agt_Id = RB.Book_Agt_Id","E-138186；E-171179；E-176610；E-209894；E-241773；E-243650","FU-138186-25f0f0a6969b；FU-171179-b90170f49556；FU-171179-dcf2bd294d8c；FU-176610-13b67669cad4；FU-176610-443c3ee418d8；FU-176610-d672ac53d86e；FU-209894-448107b58e61；FU-209894-6a21b9d1e322；FU-209894-ac20711b1c87；FU-241773-235775b7ccca；FU-243650-f1ab56e89b53","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_id","账簿协议编号","a；b；t1","root.casttable；root.casttable.a.bb；root.casttable.rb","pdata_n.t03_agt_name_h.agt_id","","JOIN关联","4","4","134167；209119；234256；243918","a.Book_Agt_Id = b.Agt_Id；a.book_agt_id = b.agt_id；a.Agt_Id = b.Book_Agt_Id","E-134167；E-209119；E-234256；E-243918","FU-134167-fcdd7aa1264f；FU-209119-576b371d06f9；FU-234256-127ee2db401e；FU-243918-604e93468cde","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"cntr","柜台","A","root","","","输出取值","4","4","134167；145871；209119；243918","DESK；A.Cntr AS Cntr；desk","E-134167；E-145871；E-209119；E-243918","FU-134167-a39f5556ef85；FU-145871-fc6df73b0cfd；FU-209119-19b9958d0697；FU-243918-35ea4b9c177f","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"cntr","柜台","a；rb","root.casttable；root.casttable.rb；root.casttable.t1；root.srctab.setop.b0.setop.b0.setop.b0.rb","","","中间投影","4","4","134167；209119；241773；243918","Cntr as DESK；a.cntr；rb.cntr as desk","E-134167；E-209119；E-241773；E-243918","FU-134167-8b553045149e；FU-209119-5df5e94c918b；FU-209119-7639d61ec1fa；FU-241773-5c8f38d44cdf；FU-243918-0804fdec9cc3；FU-243918-3c08a9ef66ab","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_co","所属公司","A","root","","","输出取值","3","3","134167；145871；243918","COMPANY；A.Bel_Co AS Bel_Co；company","E-134167；E-145871；E-243918","FU-134167-b23c4efffc95；FU-145871-0ee0e025ff7d；FU-243918-a9f825d82b1e","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_co","所属公司","","root.casttable；root.casttable.t1；root.srctab.setop.b0.setop.b0.setop.b1.rb","","","中间投影","3","3","134167；241773；243918","Bel_Co as COMPANY；bel_co；Bel_Co as company","E-134167；E-241773；E-243918","FU-134167-1f6cb29b6d27；FU-241773-27b6cffe3e23；FU-243918-569fd701f67d；FU-243918-b71d3b87a88d","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_dept","所属部门","","root；root.casttable；root.casttable.setop.b0","","","计算取值","3","3","107018；143830；176610","UNION_OUTPUT(Book_Bel_Dept)；UNION_OUTPUT(department)；UNION_OUTPUT(system_name)","E-107018；E-143830；E-176610","FU-107018-fdd8a720c3f1；FU-143830-558ceb97a8de；FU-176610-bd67d7ced48d；FU-176610-ee4b5de1a3ce","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_modifr","账簿协议修饰符","RB；RB1","root.mt；root.setop.b0","pdata_n.t03_agt_rela_h.rela_agt_modifr","","JOIN关联","3","3","107018；114782；184662","TOT1.Rela_Agt_Modifr = RB1.Book_Agt_Modifr；TOT.Rela_Agt_Modifr = RB.Book_Agt_Modifr","E-107018；E-114782；E-184662","FU-107018-badfab5854b0；FU-114782-1dea71435c87；FU-114782-fb6b72042c8a；FU-184662-5d215fe89680；FU-184662-f7f9c3b9ae13","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_ast_module_flag","启用资金模块标志","A","root","","","输出取值","3","3","134167；145871；243918","ENABLE_CAPITAL；A.Enable_Ast_Module_Flag AS Enable_Ast_Module_Flag；enable_capital","E-134167；E-145871；E-243918","FU-134167-3aa8eb8d8a5b；FU-145871-b0eda81ad3e9；FU-243918-da10c66a0e37","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_rgst_flag","启用报备标志","A","root","","","输出取值","3","3","134167；145871；243918","ENABLE_REPORT；A.Enable_Rgst_Flag AS Enable_Rgst_Flag；enable_report","E-134167；E-145871；E-243918","FU-134167-fb93e1b31f29；FU-145871-62bcb8ee9176；FU-243918-7a86b91e0982","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_risk_qta_flag","启用风险限额标志","A","root","","","输出取值","3","3","134167；145871；243918","ENABLE_LIMIT；A.Enable_Risk_Qta_Flag AS Enable_Risk_Qta_Flag；enable_limit","E-134167；E-145871；E-243918","FU-134167-9e4ceba37b52；FU-145871-5b50ef5fa2ae；FU-243918-f1582a15f4a5","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_scdtm_revw_flag","启用二次复核标志","A","root","","","输出取值","3","3","134167；145871；243918","ENABLE_REPEAT_CHECK；A.Enable_Scdtm_Revw_Flag AS Enable_Scdtm_Revw_Flag；enable_repeat_check","E-134167；E-145871；E-243918","FU-134167-e742e83798bf；FU-145871-b2e0a023a581；FU-243918-c96fbe667e42","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_sett_ntfc_flag","启用结算通知书标志","A","root","","","输出取值","3","3","134167；145871；243918","ENABLE_SETTLEMENT；A.Enable_Sett_Ntfc_Flag AS Enable_Sett_Ntfc_Flag；enable_settlement","E-134167；E-145871；E-243918","FU-134167-5fea1f88bc68；FU-145871-f2716bba2e4c；FU-243918-0a02e66799f1","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_trd_cfm_flag","启用交易确认书标志","A","root","","","输出取值","3","3","134167；145871；243918","ENABLE_CONFIRMATION；A.Enable_Trd_Cfm_Flag AS Enable_Trd_Cfm_Flag；enable_confirmation","E-134167；E-145871；E-243918","FU-134167-ba61f047aa83；FU-145871-481308ac8e33；FU-243918-29c0b137b04e","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"ost_otc_ind","场内外标识","A","root","","","输出取值","3","3","134167；145871；243918","MARKET_TYPE；A.Ost_Otc_Ind AS Ost_Otc_Ind；market_type","E-134167；E-145871；E-243918","FU-134167-76ae5f3c686e；FU-145871-76568087023c；FU-243918-af477db96e1b","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"remark","备注","A","root","","","输出取值","3","3","134167；145871；243918","DESCRIPTION；A.Remark AS Remark；description","E-134167；E-145871；E-243918","FU-134167-e351083b6c85；FU-145871-d3b048f57d7f；FU-243918-17859216d31f","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"rep_fin_flag","报送财务标志","A","root","","","输出取值","3","3","134167；145871；243918","ENABLE_FINANCIAL；A.Rep_Fin_Flag AS Rep_Fin_Flag；enable_financial","E-134167；E-145871；E-243918","FU-134167-805a3ed59149；FU-145871-901bf6e9655b；FU-243918-9bb97dff21e6","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"rep_risk_flag","报送风控标志","A","root","","","输出取值","3","3","134167；145871；243918","ENABLE_RISK；A.Rep_Risk_Flag AS Rep_Risk_Flag；enable_risk","E-134167；E-145871；E-243918","FU-134167-f04048850056；FU-145871-a10fb09863e6；FU-243918-043448136e3c","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_co","所属公司","","root.casttable.a；root.casttable.c","","","过滤条件","2","2","134167；234175","SRC_TBL = 'ODATA_N_TIT.D_REF_BOOK' and BUSI_DATE = '${yyyy-MM-dd}' and Bel_Co = 'GFS_HK'","E-134167；E-234175","FU-134167-924efc78abec；FU-234175-18b16a077b6a","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_id","账簿协议编号","","root","","","输出取值","2","2","134167；243918","KEY_BOOK_ID；key_book_id","E-134167；E-243918","FU-134167-e227eb28bf05；FU-243918-4c9f7ba76bc4","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_id","账簿协议编号","A；t1","root；root.casttable","pdata_n.t03_agt.agt_id","","JOIN关联","2","2","145871；243918","A.Book_Agt_Id = B.Agt_Id；t1.key_book_id = t2.key_book_id","E-145871；E-243918","FU-145871-f8d09a7622d4；FU-243918-f157299c368b","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"busi_date","业务日期","book；rb","root.casttable.setop.b0；root.srctab.setop.b0.setop.b1","","","JOIN关联","2","2","143830；243650","rb.busi_date = '${yyyy-MM-dd}'；book.busi_date = '${yyyy-MM-dd}'","E-143830；E-243650","FU-143830-84e043dc40fa；FU-243650-1ed3382ef9d9","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"eff_date","生效日期","","root","","","输出取值","2","2","134167；243918","VALID_STARTDATE；valid_startdate","E-134167；E-243918","FU-134167-e8402c2d4d9e；FU-243918-7385752857e8","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"eff_date","生效日期","","root.casttable；root.casttable.t1","","","中间投影","2","2","134167；243918","Eff_Date as VALID_STARTDATE；Eff_Date as valid_startdate；t1.valid_startdate","E-134167；E-243918","FU-134167-ae154da5f50d；FU-243918-706b3afa0a28；FU-243918-a4ef44c5228e","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"exp_date","到期日期","","root","","","输出取值","2","2","134167；243918","VALID_ENDDATE；valid_enddate","E-134167；E-243918","FU-134167-087fa9af5a2a；FU-243918-9195af5d2698","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"exp_date","到期日期","","root.casttable；root.casttable.t1","","","中间投影","2","2","134167；243918","Exp_Date as VALID_ENDDATE；Exp_Date as valid_enddate；t1.valid_enddate","E-134167；E-243918","FU-134167-1e068856e35c；FU-243918-1aee7908fd06；FU-243918-b43ffd3cb49f","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"map_undrl_cd","映射标的代码","","root","","pdata_news_n.t02_tit_scr_base_info.undrl_clas","输出取值","2","2","209119；230202","underlying_summary_mapping；Map_Undrl_Cd","E-209119；E-230202","FU-209119-36cb57cbb0ac；FU-230202-a400ebd23134","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"map_undrl_cd","映射标的代码","rb","root.casttable；root.casttable.u","","pdata_news_n.t02_tit_scr_base_info.undrl_clas","条件/回退取值","2","2","209119；230202","if(nvl(rb_ori.mapping_wind_code,'')='',ri.summary_mapping,rb_ori.mapping_wind_code) as underlying_summary_mapping；nvl(if(rb.Map_Undrl_Cd='',null,rb.Map_Undrl_Cd),ins.undrl_clas) as Map_Undrl_Cd","E-209119；E-230202","FU-209119-73a6569399c6；FU-230202-fe9631e8f9f5","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"map_undrl_cd","映射标的代码","","root.casttable；root.casttable.rb_ori；root.casttable.t1","","","中间投影","2","2","209119；243918","map_undrl_cd as mapping_wind_code；Map_Undrl_Cd as mapping_wind_code；t1.mapping_wind_code","E-209119；E-243918","FU-209119-a8e66829883e；FU-243918-c8fd390bb831；FU-243918-fe48be9434ab","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"ost_otc_ind","场内外标识","","root.casttable；root.casttable.t1","","","中间投影","2","2","134167；243918","Ost_Otc_Ind as MARKET_TYPE；Ost_Otc_Ind as market_type；t1.market_type","E-134167；E-243918","FU-134167-a4519c57cf06；FU-243918-3b377edd2858；FU-243918-f6c5f41c52ab","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"remark","备注","","root.casttable；root.casttable.t1","","","中间投影","2","2","134167；243918","Remark as DESCRIPTION；Remark as description；t1.description","E-134167；E-243918","FU-134167-c13a92b65e66；FU-243918-20d4b100e18b；FU-243918-fc02ac1f0291","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"src_tbl","源表","book；rb","root.casttable.setop.b0；root.srctab.setop.b0.setop.b1","","","JOIN关联","2","2","143830；243650","rb.src_tbl = 'ODATA_N_TIT.D_REF_BOOK'；book.src_tbl = 'ODATA_N_TIT.D_REF_BOOK'","E-143830；E-243650","FU-143830-2d49ffd0b417；FU-243650-b12110eaf93f","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_co","所属公司","","root.srctab；root.srctab.setop.b0；root.srctab.setop.b0.setop.b0","","pdata_n.t03_otc_swap_comp_info.comp_usag_cd；pdata_n.t03_otc_swap_comp_leg_info.res_flag；pdata_n.t03_otc_swap_comp_leg_info.res_type；pdata_n.t98_otc_swap_comp_trd_undrl_info.crrc_cd；pdata_n.t98_otc_swap_comp_trd_undrl_info.src_scr_type_cd；pdata_n.t98_sb_otc_opt_comp_info.bgng_prcg_date；pdata_n.t98_sb_otc_opt_comp_info.res_flag；pdata_n.t98_sb_otc_opt_comp_info.sler_cutp_pty_id；pdata_n.t98_sb_otc_opt_comp_info.src_agt_sub_type_cd；pdata_n.t98_sb_otc_opt_comp_info.src_agt_type_cd；pdata_n.t98_sb_otc_opt_comp_info.undrl_cd；pdata_n.t98_sb_otc_swap_comp_info.strt_pric_date；pdata_n.t98_sb_otc_swap_comp_info.swap_type_cd；pdata_news_n.t02_tit_scr_base_info.scr_type_src","计算取值","1","1","241773","UNION_OUTPUT(tag_id)","E-241773","FU-241773-1f5836e02f02；FU-241773-be2088d40ed1；FU-241773-fda79f0d748c","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_co","所属公司","rb","root.srctab.setop.b0.setop.b0.setop.b1","","pdata_n.t03_otc_swap_comp_info.comp_usag_cd；pdata_n.t03_otc_swap_comp_leg_info.res_flag；pdata_n.t03_otc_swap_comp_leg_info.res_type；pdata_n.t98_otc_swap_comp_trd_undrl_info.crrc_cd；pdata_n.t98_otc_swap_comp_trd_undrl_info.src_scr_type_cd；pdata_n.t98_sb_otc_swap_comp_info.strt_pric_date；pdata_n.t98_sb_otc_swap_comp_info.swap_type_cd","条件/回退取值","1","1","241773","if( rt.strt_pric_date <= '2025-03-31' -- 旧版 , case when rb.bel_dept = 'OTC_HK' and rt.swap_type_cd = 'CROSS_LEND_SWAP' then 'tag074452414' -- TRS_CROSS_LEND_SWAP 跨境借券 when rb.bel_dept = 'OTC_HK' and rt.swap_type_cd = 'HK_LONG_HOLD_SWAP' the","E-241773","FU-241773-9c170c1fcf46","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_co","所属公司","srctab","root","dm_index_n.tag_def.tag_id","pdata_n.t03_otc_swap_comp_info.comp_usag_cd；pdata_n.t03_otc_swap_comp_leg_info.res_flag；pdata_n.t03_otc_swap_comp_leg_info.res_type；pdata_n.t98_otc_swap_comp_trd_undrl_info.crrc_cd；pdata_n.t98_otc_swap_comp_trd_undrl_info.src_scr_type_cd；pdata_n.t98_sb_otc_opt_comp_info.bgng_prcg_date；pdata_n.t98_sb_otc_opt_comp_info.res_flag；pdata_n.t98_sb_otc_opt_comp_info.sler_cutp_pty_id；pdata_n.t98_sb_otc_opt_comp_info.src_agt_sub_type_cd；pdata_n.t98_sb_otc_opt_comp_info.src_agt_type_cd；pdata_n.t98_sb_otc_opt_comp_info.undrl_cd；pdata_n.t98_sb_otc_swap_comp_info.strt_pric_date；pdata_n.t98_sb_otc_swap_comp_info.swap_type_cd；pdata_news_n.t02_tit_scr_base_info.scr_type_src","JOIN关联","1","1","241773","srctab.tag_id = tag.tag_id","E-241773","FU-241773-7ac7440fa82e","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_dept","所属部门","","root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0","","pdata_n.t98_sb_otc_opt_comp_info.book_bel_dept","计算取值","1","1","171179","UNION_OUTPUT(Book_Bel_Dept)","E-171179","FU-171179-a075b8a1498d；FU-171179-ab6551a10c7e","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_dept","所属部门","","root.casttable；root.casttable.setop.b0；root.casttable.setop.b0.setop.b0；root.casttable.setop.b0.setop.b0.setop.b0；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0","","pdata_n.t98_otc_deri_book_info.bel_dept；pdata_n.t98_sb_otc_opt_comp_info.book_bel_dept","计算取值","1","1","171179","UNION_OUTPUT(Book_Bel_Dept)","E-171179","FU-171179-2d13a2191fae；FU-171179-4328447993ce；FU-171179-642cf43eb169；FU-171179-9cc6112b59f5；FU-171179-f5b3cd480b1a","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_dept","所属部门","","root.srctab；root.srctab.setop.b0；root.srctab.setop.b0.setop.b0","","pdata_n.t03_otc_swap_comp_info.comp_usag_cd；pdata_n.t03_otc_swap_comp_leg_info.res_flag；pdata_n.t03_otc_swap_comp_leg_info.res_type；pdata_n.t98_otc_swap_comp_trd_undrl_info.crrc_cd；pdata_n.t98_otc_swap_comp_trd_undrl_info.src_scr_type_cd；pdata_n.t98_sb_otc_opt_comp_info.bgng_prcg_date；pdata_n.t98_sb_otc_opt_comp_info.res_flag；pdata_n.t98_sb_otc_opt_comp_info.sler_cutp_pty_id；pdata_n.t98_sb_otc_opt_comp_info.src_agt_sub_type_cd；pdata_n.t98_sb_otc_opt_comp_info.src_agt_type_cd；pdata_n.t98_sb_otc_opt_comp_info.undrl_cd；pdata_n.t98_sb_otc_swap_comp_info.strt_pric_date；pdata_n.t98_sb_otc_swap_comp_info.swap_type_cd；pdata_news_n.t02_tit_scr_base_info.scr_type_src","计算取值","1","1","241773","UNION_OUTPUT(tag_id)","E-241773","FU-241773-20a81bfd327a；FU-241773-b884166d1295；FU-241773-bc2786bbd1c6","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_dept","所属部门","","root","","pdata_n.t98_otc_deri_book_info.bel_dept；pdata_n.t98_sb_otc_opt_comp_info.book_bel_dept","输出取值","1","1","171179","Book_Bel_Dept","E-171179","FU-171179-ff57165a1386","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_dept","所属部门","","root","","pdata_nds.bundle_margin_daily_result.department","输出取值","1","1","215700","DEPARTMENT","E-215700","FU-215700-a9c1d9951d72","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_dept","所属部门","rb","root.casttable.setop.b0.setop.b0；root.casttable.setop.b0.setop.b1；root.casttable.setop.b1","","","条件/回退取值","1","1","176610","case when rb.Bel_Dept = 'OTC' then '股衍' when rb.Bel_Dept = 'GFS_FICC' then '固收' end as system_name","E-176610","FU-176610-51705576b4a9；FU-176610-85cd393fb511；FU-176610-e14102af0abb","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_dept","所属部门","","root.casttable","","pdata_nds.bundle_margin_daily_result.department","条件/回退取值","1","1","215700","NVL(RB.DEPARTMENT,DR.DEPARTMENT) AS DEPARTMENT","E-215700","FU-215700-5e85afe8c639","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
