"序号","data_src_cd","real_src_tbl","_col2","source_table_comment","source_comment_variant_count","metadata_match","metadata_status","metadata_classifications","t01_task_count","source_annotation_task_ids","schema_status","schema_field_count","schema_fields","schema_ddl_task_ids","schema_field_comment_count","schema_field_comments","source_system_name","source_system_name_basis"
"22","RMS","ODATA_N_RMS.N_T_OVERSEA_CUSTOMER","141","海外客户关联的投研客户表","1","true","ACTIVE","","6","213003,213004,213007","DDL_FOUND","10","ID|TYPE|CUSTID|CUSTOMERNAME|TARGET_SALES|STATUS|REMOVE_TAG|CREATE_TIME|UPDATE_TIME|DATA_TIME","209681","0","","研究业务管理平台","CD100 字典"
"23","CAP","ODATA_N_CAP.P_BIZ_PRO_TRUSTEEBANK","64","托管行信息表","1","true","ACTIVE","","4","235460,235462,235463,235465","DDL_FOUND","23","ID|BANKACCO|BANKCODE|TRUSTEECREDITCODE|TRUSTEEBANK_SUB_ID|DELETED|CREATE_PERSON|CREATE_PERSONID|CREATE_TIME|UPDATE_PERSON|UPDATE_PERSONID|UPDATE_TIME|LAWMAN|FAX|POSTCODE|OFFICE_ADDR|REG_ADDR|MANAGER_NAME|MANAGER_PHONE|MANAGER_EMAIL|MOT_BANKACCO|MOT_BANKCODE|DATA_TIME","233662","0","","托管辅助平台","CD100 字典"
"24","TA5","ODATA_N_TA5.D_TA_TAGENCYINFO","157","销售商基本信息表；销售商编号","2","true","ACTIVE","自定义_数据重要性_核心","22","38186,40469,40476,41282,63173,63719,63752,63793","DDL_FOUND","69","L_ROWID|C_TENANTID|C_AGENCYNO|C_AGENCYNAME|C_AGENCYSTATUS|C_AGENCYTYPE|C_MANAGERCODE|C_COMPARETYPE|C_IVERSION|C_CENTERFLAG|C_MULTITRADEACCO|C_MODIFYTRADEACCO|C_AGENCYENGLISHNAME|C_AGENCYADDRESS|C_AGENCYZIPCODE|C_AGENCYCONTACT|C_AGENCYPHONE|C_AGENCYFAXNO|C_AGENCYEMAIL|C_ISDETAIL|C_SHARETYPES|C_ZTGONESTEP|C_LITTLEDEALTYPE|C_OVERTIMETYPE|C_FUNDCODEDEALTYPE|C_DATAISSUETYPE|C_REGMODIFYINFO|C_CANCELCHKTRADEACCO|C_SUBTEMPLATECODE|C_NOTEXPPARAMFILES|C_AGECREDITCODE|C_LIQBATCHNO|C_NEWNAVDATE|C_ISRECEIVEBROADCAST|C_OPENACCOFLAG|C_CHANGEONSTEP|L_CSERIALNO|C_PREASSIGN|C_ISEXPNOTFINISHED|C_TACODE|DATA_TIME|C_ISCONFIRMDETAIL|C_AGNCYMAIL|C_NAVADDRATIO|C_AMLCONTROLTRADE|C_ISNOUPGRADE|C_INOTHERAGCUPGRADE|C_ISNETTRADEACCO|C_ISYUEBAO|C_AGEREGION|C_REGADDRESS|C_LEGALREPRESEN|C_CUSTSERTEL|C_URL|C_PUBLISHPERSON|C_FEDJJDTALAUNCH|C_EXPCENTRALIZEDATA|C_CLEARSITE|C_CALINTEREST|C_YEBMFACCOREDEEMTYPE|C_NAVADDRESTDAYTYPE|C_SUPPORTAMLX2X4|C_AGENCYQRYTYPE|C_AGENCYORGANNO|C_EXP05TOTALDATA|C_T0OWNAGENCYEXPMODE|C_ECNTRCTFILEVER|C_FIRSTBATCHSELECT|C_IMPKT","35491,60454","0","","资产管理TA5","CD100 字典"
"25","TMC","ODATA_N_TMC.M_LP_ORG","66956","","0","true","ACTIVE","自定义_数据重要性_重要","2","","NO_DDL_FOUND","0","","","0","","托管管理人综合信息系统","CD100 字典"
"26","CRS","ODATA_N_CRS.R_CUSTOM","786","客户信息表","1","true","ACTIVE","自定义_数据重要性_重要","10","184762,184765,184766,184767,184768,184769,184770,184771","DDL_FOUND","36","ID|CUST_ID|NAME|USCC|DL_OF_CPS_CONTRACT|DL_OF_CONTRACT|MAIN_CONTRACT_ID|MAIN_CONTRACT_VERSION|SUP_CONTRACT_ID|GUARANTEE_CONTRACT_ID|EST_ACCT_DATE|IS_MUTUAL_VIDEO|ENTERPRISE_CATEGORY|CUST_CLASS|LEAP_LEVEL_TRADE|LEGAL_PERSON|ADDRESS|BANK_NAME|BANK_ACCT_ID|CREDIT_DATE|CREDIT_AMT|CREDIT_EXT_DATE|CONTACTOR|CONTACTOR_PHONE|TRADER|TRADER_PHONE|SOURCE|MARGIN_LEVEL|CUST_STATUS|GTIME|GUSER|GSTATUS|GMSG|DATE_TIME|BUSI_DATE|BUSI_ID","70954","0","","广发商贸风控结算管理系统","CD100 字典"
"27","MOT","ODATA_N_CMI.A_HSI_TENANT","22350","客户基本信息；管理人信息；管理人信息表","3","true","ACTIVE","","17","49329,49333,49462,49640,49644,50041,63216,63666,63713,63745,63823,63827","DDL_FOUND","27","C_TENANTID|C_TENANTNAME|C_CONTACTNAME|C_MOBILE|C_TELEPHONE|C_ADDRESS|C_REGADDRESS|D_REGDATE|L_REGCAPITAL|C_LAWNAME|C_REGACCNO|C_VIPTYPE|C_MANAGERCREDITCODE|C_WEBSITE|C_CSRCREGNUMBER|C_MAINFUNDTYPE|C_TENANTUSEDNAME|C_LEVELCLASSIFICATION|C_SEGMENTLEVEL|C_ISPACKAGESHELL|C_RISKDESCRIPTION|C_BLACKLISTREASON|C_OUTSERIALNO|D_UPDATETIME|C_CUSTOMERSERVICE|IS_ACCESS|DATA_TIME","193245,193924","0","","MOT系统/资产托管运营管控系统","CD100 字典"
"28","MOT","ODATA_N_MOT.M_TPDTORGANINFO","497","基金服务机构信息表","1","true","ACTIVE","自定义_数据重要性_重要","2","50042,63714","DDL_FOUND","24","L_ID|C_COMPANYCODE|C_COMPANYNAME|C_ENGLISHNAME|C_COMPANYTYPE|C_LAWMAN|C_REGADDRESS|F_REGCAPITAL|C_CONTACTOR|C_DUTY|C_MOBILENO|C_PHONE|C_ADDRESS|C_EMAIL|C_FAX|C_HOTLINE|C_WEBSITE|C_CREATOR|D_CREATEDATE|C_WEBCHATACCOUMT|C_RELATIVESOFTSERVICE|C_REMARK|C_REGCODE|DATA_TIME","61105","0","","MOT系统/资产托管运营管控系统","CD100 字典"
"29","LPS","ODATA_N_LPS.E_BR_BANK_CODE","61","银行信息表","1","true","ACTIVE","","3","229584,229585,229586","DDL_FOUND","4","BANK_CODE|BANK_NAME|IS_USE|DATA_TIME","225384","0","","新意法人结算系统","CD100 字典"
"30","STA","ODATA_N_STA.S_TAGENCYINFO","6","销售商基本信息表；销售商编号","2","true","ACTIVE","自定义_数据重要性_重要","14","38186,40471,40474,40478,63173,63727,63788,63795","DDL_FOUND","117","C_AGENCYNO|C_AGENCYNAME|C_FULLNAME|C_AGNCYADDRESS|C_AGNCYZIPCODE|C_AGNCYCONTACT|C_AGNCYPHONE|C_AGNCYFAXNO|C_AGNCYMAIL|C_AGNCYBANKNO|C_AGNCYBANKACCO|C_AGNCYBANKNAME|D_AGNCYREGDATE|C_AGNCYSTATUS|D_LASTDATE|C_AGENCYTYPE|C_DETAIL|C_RIGHT|C_ZDCODE|L_LIQUIDATEREDEEM|L_LIQUIDATEALLOT|L_LIQUIDATEBONUS|L_LIQUIDATESUB|C_SHARETYPES|F_AGIO|C_ZTGONESTEP|C_PREASSIGN|L_CSERIALNO|C_COMPARETYPE|C_LIQUIDATETYPE|C_MULTITRADEACCO|C_IVERSION|C_IMODE|C_CHANGEONSTEP|F_OUTAGIO|F_AGIOHINT|F_OUTAGIOHINT|C_ALLOTLIQTYPE|C_REDEEMLIQTYPE|C_CENTERFLAG|C_NETNO|C_LITTLEDEALTYPE|C_OVERTIMEDEAL|D_LASTINPUTTIME|F_INTERESTRATE|C_CLEARSITE|C_ISDEAL|C_AGENCYENGLISHNAME|L_FUNDACCONO|C_RATIONFLAG|C_INTERESTTYPE|C_CLTINTERESTMODE|C_CALINTEREST|D_SZLASTINPUTTIME|D_SZLASTDATE|C_REGMODIFYINFO|C_ISCROSSTACHG|C_EXPPARAMFILES|C_FINALRATIOLIMITCUSTTYPE|C_ISRECEIVEBROADCAST|C_SHORTCFRDMPARTCFM|C_ISDEPOSIT|D_DEPOSITAGCREQ|D_DEPOSITENDAGM|C_INDIVIDUALCANTOPEN|C_INSTITUTIONCANTOPEN|C_SCFRDMDEALTYPE|C_ISCREDITREDEEM|C_FORMAT03|C_MANUALFAILINTEREST|C_MANUALFAILSEND|C_SPLITFLAG|C_TACODE|C_EXPORTBYNEWAPPOINT|C_SCFCOMPARETYPE|C_NEEDQUOTEFILE|D_IMPECNTRCTDATE|C_LIMITDAYRDMPARTCFM|C_MONEYFUNDT0LIQFRCRDM|C_MANAGERCODE|C_ISOTC|C_THIRDPARTAGENCY|C_OPENCASHUNIONSTOCK|C_CONVERTSHARE|C_STOCKACCO|C_IDENTITYNO|C_SUBSEAT|C_IDENTITYNOSH|C_SUBSEATSH|C_STOCKACCOSH|C_ACCODEALREALTIME|D_IMPSTOCKREQCFM|D_EXPSTOCKREQCFM|C_EXPRESTINCOME|F_EXPNEWINCOME|C_EXPCONFILEMODE|C_TRANSFERCLASSDEALTYPE|C_IMPECNTRCT|C_CONFIRMCANUSE|C_SUPPORTESHARES|C_FROZENREALTIME|C_FEDJJDTALAUNCH|D_HOLIDAYT0RDM|C_RDMNOSHAREDEALTYPE|C_EXPZHENDDATE|C_EXPNATURALINCOME|C_ABCONFREQUESTNO|C_ABCONFDATE|C_ECNTRCTVERSION|C_TRADEACCODIFFNETNO|C_CANCELCHKTRADEACCO|C_EXPFUNDDATETYPE|C_ISSTANDARD400|C_SUPPEARLYLIQUID|C_AGEREGION|C_HKEXPTOTALNETVALUE|DATA_TIME","39952,62532","0","","资产管理分TA系统","CD100 字典"
"31","CMI","ODATA_N_CMI.G_TB_CST_UNIT","444504","新管理人6号报表(管理人法人代表信息入模)；新管理人系统6号报表","2","true","ACTIVE","自定义_数据重要性_重要","3","76046,76047,76048","NO_DDL_FOUND","0","","","0","","托管管理人综合信息平台","CD100 字典"
