taskId,taskCategory,taskName,coverageStatus,failureReasonCode,factsState,hasPack,hasQuerySql,targetKind,subReason,recommendedAction
234628,hive2starrocks,"SR推数",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
234631,MISSING_PACK,"",COLLECTION_FAILED,FACTS_UNAVAILABLE,STALE,false,false,none,MISSING_PACK,collect-input-pack-from-cache
234637,hive2starrocks,"SR推数",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
234682,hive2starrocks,"SR推数\n234457",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
234717,hive2starrocks,"SR推数",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
235809,MISSING_PACK,"",COLLECTION_FAILED,FACTS_UNAVAILABLE,STALE,false,false,none,MISSING_PACK,collect-input-pack-from-cache
236475,hive2starrocks,"推数日志表-236470",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
236476,hive2starrocks,"推数日志表-236469",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
236490,hive2mysql,"",SCHEDULE_ONLY,,STALE,false,false,none,MISSING_PACK,collect-input-pack-from-cache
236649,sparkIndex,"",SCHEDULE_ONLY,,STALE,false,false,none,MISSING_PACK,collect-input-pack-from-cache
237421,sparkIndex,"客户 AUM 可选指标得分  AUM 资产包评价管理实施方案 index表",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237459,sparkIndex,"粤东分公司 AUM 资产包评价管理实施方案 index表",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237468,sparkIndex,"佛山分公司 AUM 资产包评价管理实施方案 index表",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237470,sparkIndex,"粤西分公司  AUM 资产包评价管理实施方案 index表",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237471,sparkIndex,"东莞分公司 AUM 资产包评价管理实施方案 index表",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237474,sparkIndex,"福建分公司 AUM 资产包评价管理实施方案 index表",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237478,sparkIndex,"辽宁分公司 AUM 资产包评价管理实施方案 index表",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237480,sparkIndex,"江苏分公司 AUM 资产包评价管理实施方案 index表",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237481,sparkIndex,"寺右新营业部 AUM 资产包评价管理实施方案 index表",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237483,sparkIndex,"珠海分公司 AUM 资产包评价管理实施方案 index表",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237485,sparkIndex,"山东分公司 AUM 资产包评价管理实施方案 index表",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237486,sparkIndex,"成都分公司 AUM 资产包评价管理实施方案 index表",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237505,sparkIndex,"季度关注客户名单 AUM 资产包评价管理实施方案 index表",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237634,hive2starrocks,"SR推数-237630",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237743,hive2starrocks,"推数日志表-237645",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237746,MISSING_PACK,"",COLLECTION_FAILED,FACTS_UNAVAILABLE,STALE,false,false,none,MISSING_PACK,collect-input-pack-from-cache
237748,hive2starrocks,"推数日志表-237626",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237750,hive2starrocks,"推数日志表-237609",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237751,hive2starrocks,"推数日志表-237600",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237752,hive2starrocks,"推数日志表-237596",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
237753,hive2starrocks,"推数日志表-237593",SCHEDULE_ONLY,,STALE,true,true,none,NEED_MACHINE_FACTS,machine-facts
