"物理节点标识","平台","库表","目录描述原意","元数据匹配依据","写入关联任务","读取关联任务","写入关联任务数","读取关联任务数","图内角色","名称规则候选分类","已核代表条目","SQL词法筛查线索","无externalReads的写入关联任务","指标标签名称匹配候选","环境提示","解释状态"
"dataset:7441f6fded01f6aabb48e4125f8f16fdcf8b9d5258eeedce0bb5f16cd6d7ca05","hive","odata_n_alm.g_nsfr_assign_statistics","NSFR计算表","PHYSICAL_IDENTITY","150947","154494","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:fbfe2b5ef94c306997ed3c55c2e9dc4eb30bf004e0fb6918fa71cf7ad96dca9f","hive","odata_n_tit.d_ref_volsurface_instance_p","【AI】DM-波动率实例表","PHYSICAL_IDENTITY","150991;150993","","2","0","图内未见后续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:a4d6285e12c2cd85e09b470f476b9aa2f6aceb96d4282357fcec4cbae67a5eef","hive","dm_rsk_n.comp_marg_acct_info","合约保证金账户信息","PHYSICAL_IDENTITY","151145","","1","0","图内未见后续读取","资金、保证金与运营分析","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:7f6bd43e9f766db8cb7a03fb798c71070e585667e9583c4a864e0a621e5c2fc2","postgre","a_epa.wt_org_mth_apd_ast_covt_tbl","","PHYSICAL_IDENTITY","151193","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:2185800d096094c0a2eb7084dc5b11d65f50768a4236edb0e25996a294931365","postgre","a_epa.wt_org_year_apd_ast_covt_tbl","","PHYSICAL_IDENTITY","151197","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:25f55d71bb03f73330b7c9c95bbc45df2ffd15ce23524fa8a88b73fea0f8767d","hive","pdata_news_n.t02_fxr_bnk_quot_s","银行外汇牌价(新)","PHYSICAL_IDENTITY","151206","","1","0","图内未见后续读取","公共参数、行情与应用支撑","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:6a52825afc5de8553fd0c35f59a154ac4fdfad0407c0231937fbf86008d8479a","hive","pdata_news_n.t02_fxr_cfets_quot_s","外汇交易中心汇率中间价(新)","PHYSICAL_IDENTITY","151207","","1","0","图内未见后续读取","公共参数、行情与应用支撑","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:277050ee6a588fa3cbc0a2d3dba3c9ccb6d1b164188e9c3885bbd98f3bbfabdb","mysql","gfcrossfund.crossacct","跨境通签约表","PHYSICAL_IDENTITY","","151249","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:9d341d6e133b0e6a00582564ed0827e01b4ecbc92b69ac141070a9d971be1b8b","hive","odata_n_nbo.c_crossacct","跨境通签约表","PHYSICAL_IDENTITY","151249","164367","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:84a09fac44108af060e9b5efe7633671c768b3709151708b1b12033a6e2195ec","hive","odata_n_lss.s_vt_fin_trs","Titans财务-TRS基本信息","PHYSICAL_IDENTITY","152877","151342","1","1","有写入且被继续读取","财务核算与对账","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:82cd3e5a47cdc49571e969b4347b4843f5fe7c2c9e071e70103840e82739a30d","hive","pdata_pcav_n.mid_sta_acs_single_opt_daily_profit","单一期权分币种日盈亏表","PHYSICAL_IDENTITY","","151652;164124;170348","0","3","仅见读取","持仓、风险与盈亏分析","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
