"物理节点标识","平台","库表","目录描述原意","元数据匹配依据","写入关联任务","读取关联任务","写入关联任务数","读取关联任务数","图内角色","名称规则候选分类","已核代表条目","SQL词法筛查线索","无externalReads的写入关联任务","指标标签名称匹配候选","环境提示","解释状态"
"dataset:68ca61ef8b9e41074d27f0408f6474ceca6fc66ead653130eacd1bda906bd16a","hive","odata_n_uip.q_md_security","证券主表","PHYSICAL_IDENTITY","61049","69341;69471;69498;69708;70343;72482","1","6","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:c924bfd52d137f9ae782f172ee52f1284b3a45d5c21f5d0a63cb4fdd669a6d9d","oracle","wind.cdrdescription","","PHYSICAL_IDENTITY","","61051","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:ed5dcf3c9e731ee17e2fe86ace757e390a58f6c696a79bd50c2b2545ee3a7f40","hive","odata_n_uip.w_cdrdescription","中国存托凭证基本资料","PHYSICAL_IDENTITY","61051","66263","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:1f25eca1946a7253fa2b5fdd66685008bc9e6b98bebe39109b333271ea85d487","oracle","wind.hkshareanninf","","PHYSICAL_IDENTITY","","61053","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:a8b4e6b38e93486581d4bf6cd57ece5c794b809fea5471ecdc2ba4070fb73a09","hive","odata_n_uip.w_hkshareanninf","","PHYSICAL_IDENTITY","61053","69415","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:dcceadf9183fd9cbed8c22ea45236e42eeb8457fd0a7f5ed2ee33145e6c5c8a9","oracle","hs_taquery.ta_tbusinflag","","NAME_CANDIDATE","","61059","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:d25ba4bf8f2cd93e97e92051d8052da65f1131a2aad1d1d2026a4e26efbd84c2","hive","odata_n_ta5.d_ta_tbusinflag","","PHYSICAL_IDENTITY","61059","62588","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:88c75d05c2c1e611a4e08d6e14c4843cd82e0ac17a1357450bed4f09e7b16ab3","oracle","wind.hkshareeodprices","香港股票日行情","PHYSICAL_IDENTITY","","61061","0","1","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:f17a68e04eaa20d687afb5939073fee124a7b3fd31d72a05529b6496c7bc08e2","hive","odata_n_uip.w_hkshareeodprices","香港股票日行情","PHYSICAL_IDENTITY","61061","69687","1","1","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:11fa709116f45581126f2923279415d6c18e9fa6392f0a5e52d88a21db2891b6","postgre","acbas_hs.vpmc_tpdtwindingupinfo","","PHYSICAL_IDENTITY","","61071","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:63fe7133c52c77a3765201aca5106dda20f21fa3e97a97bd6c75af76e155bcc3","hive","odata_n_mot.m_tpdtwindingupinfo","","PHYSICAL_IDENTITY","61071","69832","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:716990e338c1e31ddc74b8e9d80df437a99387c7f7443614a3e2821cf020ad72","oracle","hs_taquery.ta_tdividenddetail_cur","","NAME_CANDIDATE","","61098","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b704aebf0ebfe653289d54120da67da8a04a186c57b62608d8405ccedc316617","hive","temp_n.odata_n_ta5_d_ta_tdividenddetail","","PHYSICAL_IDENTITY","61098","61116","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:0bebe516f8ebe4485bd932e2247edacfb9bfd6e1002cc33aa065947e9a3e35af","oracle","wind.ashareseo","中国A股增发","PHYSICAL_IDENTITY","","61100","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:ff0158fba81f70c7a59415f0ee11d2d0f4fd4cd8a7e5e0b3b0edd48632d21d44","hive","odata_n_uip.w_ashareseo","中国A股增发","PHYSICAL_IDENTITY","61100","70324;232538","1","2","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b4fc3c5cc7d98591c94fba3d55dafa2ae4fdef03279a562ee8df62836411157d","hive","odata_n_ta5.d_ta_tconfirm","","PHYSICAL_IDENTITY","61107","64605","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:0229dde1034b6a5c88c769cae09624a962f3c1c9f6144a215e6fc4ab7c4166c2","oracle","wind.hkscmembers","","PHYSICAL_IDENTITY","","61110","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:10fe0a7a5f84953167e54fd8071f344a53e1b98c8493fec9a9bc53cb9c58a6b0","hive","odata_n_uip.w_hkscmembers","","PHYSICAL_IDENTITY","61110","66125;182870","1","2","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:1d72f8504b303b04b8f10eb3bbd37d200867c9ee9902d6887b36766b2391bfb6","hive","wind.asharebalancesheet","","NONE","","61114","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:1902c6307e20b2918ba09f8835640907ae7b62d5cf01c11736dc9223cfa41011","hive","odata_n_uip.w_asharebalancesheet","中国A股资产负债表","PHYSICAL_IDENTITY","61114","232196","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:124dac99653a562cafb17c25f3d0793213f98affc66c2499286cc655da63eed6","hive","odata_n_ta5.d_ta_tdividenddetail","","PHYSICAL_IDENTITY","61116","65237","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b8986bc18df10febf8057d9fb2ba084f337335e8d25f1b94ca8e7e7849e45f7a","hive","odata_n_uip.mkt_fx_qt_rate","","NONE","","61118","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:df5bbdd63a848194c26ac279e075170522337f4f300947127d3e4295df85d21a","hive","odata_n_uip.q_mkt_fx_qt_rate","","PHYSICAL_IDENTITY","61118","151206","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:0dd647394b68546c0c0bcf6f2d857b35579de5c412984041dcf3fd76fd11becc","oracle","wind.ashareeodprices","中国A股日行情","PHYSICAL_IDENTITY","","61121","0","1","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:c6adfc037672b252eb57d449915feb0ed297a128dcdc159bd5ca40a8f53beb97","hive","odata_n_uip.w_ashareeodprices","A股日行情","PHYSICAL_IDENTITY","61121","69692;69825","1","2","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:7bf027b7db59ac509adbdae226210b8c4be3759b0e31550c241ea5cf7a43567d","hive","temp_n.odata_n_acv_h_ttmp_h_gzb_equity_cur","","NONE","","61127","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:c6e6424b8af26bbc4e88146b1db2921a46b7938c625c5f8dfad10cf16fe2acc1","hive","odata_n_acv.h_ttmp_h_gzb","","PHYSICAL_IDENTITY","61127","62967","1","1","有写入且被继续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b6610a20aabeccac682d9d26a75cbe931a41b334a5c7b3e1dcfe11432d4e3586","oracle","wind.hksharest","","PHYSICAL_IDENTITY","","61133","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:fdc98cca7630a9cd3a42cbcb1dcd2440aad84ef2db2b3e2e39eaa20e4bc997da","hive","odata_n_uip.w_hksharest","","PHYSICAL_IDENTITY","61133","70011","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:c77913e6904c1f1b9271df611ce6ac8826b87eacfdeb4cab471e8fd294fe0977","oracle","wind.neeqst","","PHYSICAL_IDENTITY","","61134","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:abdbe100c461c190e27590ba10b35bb32bae626276d726e909c3f0ded4497901","hive","odata_n_uip.w_neeqst","","PHYSICAL_IDENTITY","61134","70022","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:f89a89dd05317bd0ba56b56b9d1b99b33d68ce7c6fe0acc421c2caed7f154ddd","oracle","wind.cbondst","","PHYSICAL_IDENTITY","","61135","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:eb71c7f6f4ce3652a4f30108d4a480ea1cfb234ad894112a2748e2a040b8e872","hive","odata_n_uip.w_cbondst","","PHYSICAL_IDENTITY","61135","70021","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:4d12cb6f318a629c8d78a338642a12834119e60a8b08d362278fef17b8ac0e53","oracle","wind.bsharest","","PHYSICAL_IDENTITY","","61136","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:8a7554c48ac3ab942be9a999f7d678782c06f579ea9e4348b78e4ad403a1818a","hive","odata_n_uip.w_bsharest","","PHYSICAL_IDENTITY","61136","70020","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:79f6159cec9543af71655aeb01d06eb4593304a379cf62cc3e59620cd8c239ba","postgre","gfbpm.v_bpm_document","","PHYSICAL_IDENTITY","","61144","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:176b9db04242f8b1c398f977bdac62303ce0c54f90c8a89b1048dc15796fddbb","hive","odata_n_bpm.g_v_bpm_document","","PHYSICAL_IDENTITY","61144","100156","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:cd71b790b5698151f89bcccc74d4fd27fe341b17df6decd28c24afd487b9c429","oracle","wind.asareplantrade","","PHYSICAL_IDENTITY","","61219","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:300e241fe62dde0f88a589de68049198ef6366bc9836d0c3561ea169b8678bbc","hive","odata_n_uip.w_asareplantrade","中国A股股东拟增减持计划","PHYSICAL_IDENTITY","61219","232546","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b14f22070c445d5ff9557f665f522ea2270222f9c6e5752b8b0fc46d7f33d617","oracle","hs_user.underlycode","","PHYSICAL_IDENTITY","","61227","0","1","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:4b496b3d08d078aeb0c416c6bde6d6c3f8c6cfee799407fa0d30deb50e2ba4f3","hive","odata_n_rcc.u_underlycode","","PHYSICAL_IDENTITY","61227","62593","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:e95ad9c1fe18bae565acd72a8cdf307709301e945226e25c39b5e0691d2a1363","mysql","d_possible_relation.t_equity_family_tree_level6_14","","PHYSICAL_IDENTITY","","61228","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:74053a6db69f531ec17be629da1957356baa35b4e9334f961def69aab23047ab","hive","odata_n_uip.d_t_equity_family_tree_level6_14","","PHYSICAL_IDENTITY","61228","61246","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:8cd45840a0ffd007bd1aa56572ee801b8bb630065d556a0362e3ddfae3df8a26","mysql","d_possible_relation.t_equity_family_tree_level6_11","","PHYSICAL_IDENTITY","","61240","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:e567bfd8614708071242ed1060910a98610de6b54a0285e5b2715cff516db329","hive","odata_n_uip.d_t_equity_family_tree_level6_11","","PHYSICAL_IDENTITY","61240","61246","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:19cf5cd5a09fec269d6fcdbdd9e89f41fce2e5bf74ec96031606b47cf8041797","mysql","d_possible_relation.t_equity_family_tree_level6_12","","PHYSICAL_IDENTITY","","61241","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:f74a55997d781612c61754b08420fbde6146eb3ee119a3d513c3e135b33a933f","hive","odata_n_uip.d_t_equity_family_tree_level6_12","","PHYSICAL_IDENTITY","61241","61246","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:93d34b746934095b76d15fa2a052077beec8e914c0652a06b1d620db87130816","mysql","d_possible_relation.t_equity_family_tree_level6_4","","PHYSICAL_IDENTITY","","61243","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:ecded2011a2c0c1531f6110b765f93fc41c4d83985ba077cad087c4f642107ac","hive","odata_n_uip.d_t_equity_family_tree_level6_4","","PHYSICAL_IDENTITY","61243","61246","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:71c049170cdae11e6188f43250f30865e8ccfd980893085207371997c6792481","mysql","d_possible_relation.t_equity_family_tree_level6_5","","PHYSICAL_IDENTITY","","61244","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:8b2546437741ab677aeaa378a22b0bc61f771330a4a7ade39f9058554bf2f754","hive","odata_n_uip.d_t_equity_family_tree_level6_5","","PHYSICAL_IDENTITY","61244","61246","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:2104434b550d79abc221359b03d0b38fa7b04edbd4b88d337624aedc8e66af28","mysql","d_possible_relation.t_equity_family_tree_level6_9","","PHYSICAL_IDENTITY","","61245","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:5428fed014928cdaa215c219da612e738018b4d4dcd2311b7b8600458f34df37","hive","odata_n_uip.d_t_equity_family_tree_level6_9","","PHYSICAL_IDENTITY","61245","61246","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:0f2376b1c8509337f420c95a06609f3f0e838b4b5d11e2ceeea02277d11a6c3f","hive","odata_n_uip.d_t_equity_family_tree_level6_0","","PHYSICAL_IDENTITY","61391","61246","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:a64c3b6274391be28e34a5079d58fec21446637f3ed1c2397a37c1d61d021d1b","hive","odata_n_uip.d_t_equity_family_tree_level6_1","","PHYSICAL_IDENTITY","61390","61246","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b68086172f9f4efd81ed9777dcd67f26c608f01f70b48a353ab9e8aff7e90bc2","hive","odata_n_uip.d_t_equity_family_tree_level6_2","","PHYSICAL_IDENTITY","61393","61246","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:5766e302c10c0921bac552d9056c0b058c614d5f20f53de76b49f517c2632339","hive","odata_n_uip.d_t_equity_family_tree_level6_3","","PHYSICAL_IDENTITY","61389","61246","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:590d4ecd74ac1d13ad383524576126c3609c57df1f47739919cfcd6908d58dc0","hive","odata_n_uip.d_t_equity_family_tree_level6_6","","PHYSICAL_IDENTITY","61342","61246","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:07f0153d48ea5f342baf3040229c7a8679ca59daefe25abb245f74334ecd224b","hive","odata_n_uip.d_t_equity_family_tree_level6_7","","PHYSICAL_IDENTITY","61355","61246","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:32930b9f037c7d55c43a1eabb28bf5d5f3085a79bd0875dd96887c9dbdd2f43b","hive","odata_n_uip.d_t_equity_family_tree_level6_8","","PHYSICAL_IDENTITY","61248","61246","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:1ea29f73e45400aea2bd3cdc6317f1e4b469728fbfe22e26fffc945381843e68","hive","odata_n_uip.d_t_equity_family_tree_level6_10","","PHYSICAL_IDENTITY","61352","61246","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:4b672073b9549d7cf89d56ff219570c32b01af7ff84ad5dba740d4db8ca76036","hive","odata_n_uip.d_t_equity_family_tree_level6_13","","PHYSICAL_IDENTITY","61375","61246","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:d3f51b865f6daa43e32b3c5a4b6ab48ffd6b72cbfecef0b8b6bfc4e514efdde4","hive","odata_n_uip.d_t_equity_family_tree_level6_15","","PHYSICAL_IDENTITY","61345","61246","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:de672be8746de0b25444bd7d37636e520e5a85c7d658f89a75a051a9b3aeb5bd","hive","odata_n_uip.d_t_equity_family_tree_level6_all","6层族谱数据表","PHYSICAL_IDENTITY","61246","138806;138807;141022","1","3","有写入且被继续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:5c83e619fe695b7db5ecdd272f3096ce0736ae3be0607e4ae560b15a1f92ecd5","mysql","d_possible_relation.t_equity_family_tree_level6_8","","PHYSICAL_IDENTITY","","61248","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:a82a720c239a0c372aaad91fe8eb25a2e9bb383551a4acf1c769358b7e06b668","hive","odata_n_rcc.h_his_derivprice","","PHYSICAL_IDENTITY","61356","61249","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:dfddfa96e134b3959b2665a1fcdc11493c4ee68af86601c5c8c022ba63b46d55","hive","odata_n_rcc.sql_gc_i_derivprice","OTC产品净值表-当前表","PHYSICAL_IDENTITY","61249","","1","0","图内未见后续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:dc194878bca7742cea9ebd6646039711af1876bd2243b21785d24e4868bba389","mysql","datayes.eco_data_gf","广发场外数据表","PHYSICAL_IDENTITY","","61255","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:fede574fe1031dc1bbef5a2051931e6a3657cd8179e64731d5a805d26d2e8753","hive","odata_n_uip.q_eco_data_gf","","PHYSICAL_IDENTITY","61255","69956","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:5f433b6f3e0075c7f4eb6253d2215986e4eaae1dfe27c54dfb4f582237ae0032","hive","temp_n.odata_n_ta5_d_ta_tfundstatusday_cur","","PHYSICAL_IDENTITY","237358","61261","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:dda2eac6deca80ca893be02e039a8a4eb4457fe80e5ac42805074d69a7ec4a4e","hive","odata_n_ta5.d_ta_tfundstatusday","","PHYSICAL_IDENTITY","61261","70584","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:420ca16532fe7c4c49b5dad770a579ef1e6c0696d235a741f2dca4abcb09d4c4","hive","odata_n_uip.mkt_fx_ref_rate","","NONE","","61269","0","1","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:279724011d5da4e012debd9b9b3fbc671a66bcfc8d7c8d395b54aeec21448989","hive","odata_n_uip.q_mkt_fx_ref_rate","","PHYSICAL_IDENTITY","61269","151207","1","1","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:aad8c63f366c42298f80224cffb8465ec3245e51b7a79d70419975c8a40516d5","mysql","idc.fnd_bs_info","公募基金基本信息","PHYSICAL_IDENTITY","","61280","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:41d9f1d7dce9067e5df40327a351acda8a0938b8981184ba41586259fccccba6","mysql","idc.fnd_unit_nav","公募基金单位净资产值","PHYSICAL_IDENTITY","","61280","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:f36940de1cf6e9d285b94d5adf8f7f3c90a97af512a3687ab9c991bf17342661","hive","odata_n_uip.sql_gc_i_fnd_unit_nav_newest","","PHYSICAL_IDENTITY","61280","","1","0","图内未见后续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:c8c369e47a6a3772eb7eeb59613f8aa9008e14c8bc1cddc76b21a618e3c5bef2","oracle","wind.asharemargintradesum","中国A股融资融券交易汇总","PHYSICAL_IDENTITY","","61294","0","1","仅见读取","资金、保证金与运营分析","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:110e19a359f9576226dc19bea9c17e1ca6e1b6b36202216a0813aa2e69c7a865","hive","odata_n_uip.w_asharemargintradesum","","PHYSICAL_IDENTITY","61294","69996","1","1","有写入且被继续读取","资金、保证金与运营分析","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:9199389502147bb48ca96cab9221d0765288bc474b792fee833af5956fba5fca","oracle","hs_user.assurecode","","PHYSICAL_IDENTITY","","61300","0","1","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:0113c70ae5c1d25872dfbf0d9c1b039c863c338957073bce429836ac35b8dcf0","hive","odata_n_rcc.u_assurecode","","PHYSICAL_IDENTITY","61300","62590;75070","1","2","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:d52aaeaaec3e547f8729e6bd0bb1acd4d8c7ea4c99c79357cc34b970672cfbe9","hive","odata_n_prd.sql_basicproduct_unitnet_h03","","PHYSICAL_IDENTITY","65292","61304","1","1","有写入且被继续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:057243cff122c01fb237576cf689a7ecff7cb4b86aa134bf79ed44f886afd748","hive","odata_n_uip.sql_gc_i_pcenter_product_price","产品净值数据","PHYSICAL_IDENTITY","61304","","1","0","图内未见后续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:f0e2a97429544e21dcd3790b954796cfec2a9dad66f03180817723f1759b8f1a","oracle","hs_ref.refcashcompact","","PHYSICAL_IDENTITY","","61325;61764","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:f7fff48310b14c92243c9fc94dd6289d7140f8e14619050bd25f56a47dc2cd18","hive","odata_n_rcc.r_refcashcompact","","PHYSICAL_IDENTITY","61325","64189;65538","1","2","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:4bcda321b1003f0bcdea8b7c46fbaaba50d36302e5f79c179129268444f561c0","hive","odata_n_uip.md_sec_halt","","NONE","","61327;142571","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:53fffb0cd61936b051c6d684eaffc2d6fa7a8a351cfa666dee72c8e5c61a1580","hive","odata_n_uip.q_md_sec_halt","","PHYSICAL_IDENTITY","61327","70205","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:e118dea3940c0318e0669f74b0a35a32c59e1efacf63488239069b4ac9da9e39","oracle","hs_asset.cashaccount","","NAME_CANDIDATE","","61330;148196","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:13322109cfb17bb4d98b69e8127e2934e66c85467b252961e174556afd80454b","hive","odata_n_icc.a_cashaccount","","PHYSICAL_IDENTITY","61330","63435","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:9370a05a06419fecbb91b6ed131704a3c51c8f4b00eac108f8299bd841492fcf","mysql","d_possible_relation.t_equity_family_tree_level6_6","","PHYSICAL_IDENTITY","","61342","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:8e3cea4eed0eb2d4458fad2521f073066e0df7cd0cc06c9765ba24ef42edd078","mysql","d_possible_relation.t_equity_family_tree_level6_15","","PHYSICAL_IDENTITY","","61345","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:9cd1c8c6425d8e3342ad35a927d48415b10d0d84ece34791630e3c0a168d2998","oracle","acs_gf50.tp_orginfo","","NAME_CANDIDATE","","61347","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:0d015373b446efe86d3b4a6757e00fa136aeb505ff91ed6af6bd814659ca794a","hive","odata_n_cvs.a_tp_orginfo","","PHYSICAL_IDENTITY","61347","63398;63775","1","2","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:47c5d79e5563d551a28527d3bc0ed84cf07ee3ad39f04d3de88e0e8b6003bda9","mysql","db_df_enterprise.t_employees","","PHYSICAL_IDENTITY","","61351","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:96d9c831f39c8ae2492b7c3066d93a01d6be4cdf3fd8445b6e9beb8fcdc8718d","hive","odata_n_uip.d_t_employees","","PHYSICAL_IDENTITY","61351","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:20f16314f1ab09e0c5694f963f71436df12f549b5245fc91d1a2946a5c92ce7d","mysql","d_possible_relation.t_equity_family_tree_level6_10","","PHYSICAL_IDENTITY","","61352","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
