"物理身份","表名","中间加工读取任务数","候选群数","候选加工群","全部观察生产任务","聚组处理"
"dataset:d69f9844cf252a1048797a5c720593e6bf10d759abd439bcf12a3f6b0d8c4fb9","pdata_n.t03_otc_cutp_marg_acct_perf_guar_rslt","11","2","K008;K087","147139;165155","第一模块文档命中，保留输入但不促成聚组"
"dataset:f7651f1da447b78b8082628b93489c787c6485118a2f94aadf310a6d1ee727e2","pdata_news_n.t02_fin_curv_mkt_quot","11","2","K010;K037","103198;103199;103200;103201;228422","第一模块文档命中，保留输入但不促成聚组"
"dataset:c63a1d4ba2d991eee977b9ebcc200de429636d291ba9218448851250889ddd22","pdata_n.t04_inr_org_name_h","10","2","K044;K026","61491;61492;61494;61623;89510;91097;94419;165635;197403","第一模块文档命中，保留输入但不促成聚组"
"dataset:a8c2cd175d491f4f3d947c64b2c36fc49709979671135ffd28de226f61166750","pdata_news_n.t02_marg_base_info","10","2","K001;K022","65994;66021","参与相似计算；同时保留跨群复用"
"dataset:f92608c1cde34bca7fdbb72c0b3c7336229965b220aa3d1a4e247539b2b92b79","pdata_n.t98_otc_swap_comp_leg_valu_info","10","2","K008;K090","106210;107641;183098;211644","参与相似计算；同时保留跨群复用"
"dataset:84a35a1b28b98b8055f2f277dd3ee093a9767abd0446bb7fb91dff84b7a07ca0","pdata_news_n.t02_prd_fin_info","10","2","K039;K040","66204","参与相似计算；同时保留跨群复用"
"dataset:1d47dbf22ef9288e7701f319185fb97c801092725701c2aacfa9ecb3ad2fb84d","pdata_n.t98_cust_prd_ret_info","9","2","K065;K081","66092;66093;66187","参与相似计算；同时保留跨群复用"
"dataset:f4927d9028a49bcc2df716c12afc0361c1f8432ef9ab4dcbdbb033ff15a3046d","pdata_n.t01_pty_clas_h","9","2","K066;K078","63227;69161;70723;74383;74388;104628;105380","第一模块文档命中，保留输入但不促成聚组"
"dataset:dbdcdd68a5e4d632f77d494331fcd3f5eabd2f9b6cb5d1b086c36afe3389150b","pdata_n.t01_pty_addr_info","8","2","K044;K026","63590;63605;63617;63667;63669;63671;63713;63747;63755;63772;63856","参与相似计算；同时保留跨群复用"
"dataset:5bfdfb891d6f792ccd0127077895e7e1a1bdbeebe222f3e1fa2d5dc882ca211a","pdata_n.t01_pty_idty_info","8","2","K044;K026","63779;63784;63819;219164","第一模块文档命中，保留输入但不促成聚组"
"dataset:aafa6e82b3afe24cf86169f572c672438bf29da2549459b5ee3523a419cee497","pdata_n.t01_pty_stat_h","8","2","K044;K026","63610;63611;63683;63734;63753;63787;72715","参与相似计算；同时保留跨群复用"
"dataset:e1dafc76f9e26b9688cc8edda802df7f93a561c67d28154d661d4bd0a879a0f4","odata_n_pas.j_hssemp_employee_basedoc","8","2","K005;K011","141936","参与相似计算；同时保留跨群复用"
"dataset:b22e950c4ee223152462392cc934b1ed1222453fc87e7b6657879ca18d311b40","pdata_n.t03_agt_stat_h","8","2","K026;K027","64075;64183;64205;103937;103938;169638;183088","第一模块文档命中，保留输入但不促成聚组"
"dataset:17ec8795e0c6aa06925f2b9ab97070d99a933058b4dae96cd2a9a2dbfcece0d6","odata_n_tit.d_ref_instrument","8","2","K059;K086","78330;78349","参与相似计算；同时保留跨群复用"
"dataset:bb21f92858c03e21124d52840b292d9f6bfad52f0a6237aa168cf93328a59c05","pdata_pcav_n.mid_sta_acs_single_stock_daily_profit","8","2","K014;K033","","参与相似计算；同时保留跨群复用"
"dataset:b58dc64ed84a30ec68171fbd260832f3811c8deb2395f122c2f8d162bbae4410","dm_index_n.index_grp1_cust_incm_allcali_mth_all","8","2","K084;K094","152879","参与相似计算；同时保留跨群复用"
"dataset:4da742aac0278c286953bb8f8031d4a910518ba38a636991b0d9f91b89917b20","pdata_n.t05_acct_chg_evt","7","2","K027;K026","65513","参与相似计算；同时保留跨群复用"
"dataset:9f3f4fd6e547fc8ed1f2cd09d694bc3e517ea9ab56e4f91a18590e9eb9b0526a","pdata_n.t01_pty_prd_info","7","2","K026;K066","63113","参与相似计算；同时保留跨群复用"
"dataset:ac80bdd6e07e477c93a8df146a5a30e2969a335ba2c9e038eae0800caac7dbc8","pdata_n.t98_otc_deri_undrl_income_rwd_sum","7","2","K072;K095","109089;203358","参与相似计算；同时保留跨群复用"
"dataset:0f37256f9ebe1cba38b31f98de7c637df0cbed9e8d5f9df17bda020feaedba19","dm_index_n.index_grp2_std_ast_bef_covt_mth_apd","7","2","K013;K085","148368","参与相似计算；同时保留跨群复用"
"dataset:cdc417deb302c596c9beb7c14af7d68196b6e713561b66b7c21861b7aad28aee","pdata_n.t01_indv","6","2","K044;K026","63741;104298;105075","第一模块文档命中，保留输入但不促成聚组"
"dataset:f42ed0603207a95ed4d03e2c7a3b09dea725bb6d9b8acdb22ff3f30b02f2db0d","pdata_n.t05_exch_scr_entr_evt","6","2","K061;K082","203916;203917;203918;203919","参与相似计算；同时保留跨群复用"
"dataset:aa5540faf887495a4279fe60e4d7166d1473a0b8451ae441aee46744690ea26c","dm_index_n.prdcust_mng_prd_ext_rela","6","2","K081;K100","","参与相似计算；同时保留跨群复用"
"dataset:aaa9c3b92fa74e856d5aa3f6e89c1433eb576fff89cdbb2058ec87c7a5668197","pdata_pcav_n.mid_sta_acs_single_fund_daily_profit","6","2","K032;K033","","参与相似计算；同时保留跨群复用"
"dataset:48f0f2959d2d089adb82b8d312488bab0d791fe2b587ae1c0892b16aaf231e31","pdata_news_n.t02_fin_vola_instc","6","2","K088;K037","103248;103250","第一模块文档命中，保留输入但不促成聚组"
"dataset:d63a6da1c2481a8e6727bfd1499d885c7cb8ad9a407432bbaaf01bf9f93a1798","pdata_news_n.t02_fin_mkt_quot_fctr_rslt","6","2","K035;K037","","参与相似计算；同时保留跨群复用"
"dataset:29b4b23dbba92e0a29c1de430d5c48941517722f535a1c09e18aac3765c8c869","pdata_news_n.t02_fin_equi_fctr_info","6","2","K035;K037","168302","第一模块文档命中，保留输入但不促成聚组"
"dataset:4c40c316442c4834f1ff96f690e0ccb50b2e01e3ef931ebcbb90f7562708d367","odata_n_tit.d_ref_fast_trs","6","2","K089;K059","179886;186932","参与相似计算；同时保留跨群复用"
"dataset:7e9c74bf5ae1a2c3f93b7b2a9f5d1e5d4e2b4daf7fce8454e9374a9cf3fdbf6c","odata_n_aum.c_tapp_channeltype_discount","5","2","K047;K023","192359","参与相似计算；同时保留跨群复用"
"dataset:7f33fce00fe826fef16f7e86964fc9c519ad42318453438e33ad95ec850ce1e6","pdata_news_n.t02_fin_vola_cate_fctr_def","5","2","K088;K037","176350","参与相似计算；同时保留跨群复用"
"dataset:b1fca94aab4a5e5c489c9d1c06c3324a93677e7a3355aed315971b3f50233f55","pdata_n.t01_pty_ecif_map","4","2","K044;K026","63187","参与相似计算；同时保留跨群复用"
"dataset:f2cf60a789866f583c38e6a13a2e44669a340a62ae2025eafcab9eb9e4869dc5","odata_n_rcc.h_his_assurecode","4","2","K045;K046","59413","参与相似计算；同时保留跨群复用"
"dataset:cccd61526052be6493abdbfb51c8440318089d3ce7f903f3a5fff415b642a719","odata_n_uip.w_asharedividend","4","2","K055;K057","67174","参与相似计算；同时保留跨群复用"
"dataset:3264c101fa869bf7de7425bc78c8d3cf027f4b00d459b8a10b931f647280d1c4","pdata_n.t03_otc_opt_comp_sub_trd_barr_line_info","4","2","K068;K009","156498;211699","第一模块文档命中，保留输入但不促成聚组"
"dataset:a67be974b8f8454ddbd420cfb9e49b0d02dce524ce5407c589187c268dd5a432","pdata_news_n.t02_otc_fin_info","4","2","K069;K074","69751","参与相似计算；同时保留跨群复用"
"dataset:457f32c20c57aaf8eea8ebc7a76518474031d2034cab9cf844fd780187985611","pdata_n.t04_otc_deri_dept_adtnl_info","4","2","K030;K090","165638;211773","第一模块文档命中，保留输入但不促成聚组"
"dataset:456be2540b00662322600c7a087cbf6f4e092080393322108e443cb138bedcf9","pdata_n.t03_sb_otc_comp_trd_fee","3","2","K087;K009","110164","第一模块文档命中，保留输入但不促成聚组"
"dataset:4b8da5b4a933d6d0d68f151132d144821642c37094a3e951f8b3c6ae9207d810","pdata_n.t05_otc_deri_cutp_marg_chg_evt","3","2","K008;K087","173965","第一模块文档命中，保留输入但不促成聚组"
