"任务","名称","范围角色","候选加工群","实际读取物理对象","写入关联物理对象","读取对象数","写入对象数","SQL筛查","投影哈希","说明"
"123377","dm_index_n.index_grp_cust_times_chgpoint_tdy","中间加工待识别","未聚组","dataset:89b82fcd06dd0cd385c2c7fd8f8e68ac2c8c70df9be94f68c7037e86d80f96dc;dataset:9b1d997a7b46e832d15243622758d1f7e5fa89ff7cec8b327a931eab9b7385f5;dataset:c068faabef5c1265f552c9dc8c7acd4f88a685b3ff46d87544746b4a30ae3ea7;dataset:6019f9455446724406e103217b15bc6910aad83c41d82b3cef551f127927446a","dataset:e21eca94e44833297a0fda8f5e87543d2d662636fbac6e327ce4968ec94660a5","4","1","多来源或计算线索","73b6d85625b389919b5c26643668393b154fbb4ae572a7324afb01695f90a620","读写为任务级观察；不将全部输入输出两两解释为因果"
"123569","dm_index_n.grp_tag_client_cust_whth_open_bse_righ_tagdim100747","中间加工待识别","未聚组","dataset:c068faabef5c1265f552c9dc8c7acd4f88a685b3ff46d87544746b4a30ae3ea7;dataset:b021f2f3900ffa489d8424fcda15bd6ca2c4f13612e5c480ad04ebcef19319a8;dataset:ea13700b2ea673c78faf939fe9d42a6bd44807c4f225628c84b1e10dcf5ceceb","dataset:7c9d8ace23e8987fb74e0d2b8e4d4c6a7923db5331fb68d270c3004fac3ff740","3","1","多来源或计算线索","02d6b8de5157e500edbeabf2545c071f7af4fd31ebf1eca2b3331cadcdb16144","读写为任务级观察；不将全部输入输出两两解释为因果"
"123571","dm_otc_n.otc_income_vchr_ldg_list","中间加工待识别","K074","dataset:c28f37d6630b87e9a1b1a3f35b8399dd0caebfa0d4bae6299118d5e95566205c;dataset:f49176b230f1f5468631d152b694cf6148ddf3c808df256b1c1f0563506b600e;dataset:87bb0c983bbd36efbb7599b806d1e6cf6427317bbf474cd3a1ae3e191638d224;dataset:e4b3adf0b6ff37620a08c69009d1d80e6d37a0148814261f0adc2418edd6b23d;dataset:2eb2a33c62057a1e01375519b9e6c34ad4eabe5f525dd5f6b073fade8163badf;dataset:a67be974b8f8454ddbd420cfb9e49b0d02dce524ce5407c589187c268dd5a432","dataset:a2adf977c1e1baaaf9043af398d5e027635c9c568606db37e2290d1500ca4bd8","6","1","多来源或计算线索","3664fff46f9949aa06c6f24785dd302650fe9ddd42b0a9b7aa71c057ae30f22f","读写为任务级观察；不将全部输入输出两两解释为因果"
"123590","dm_index_n.grp_cust_open_marg_flag_tagdim100754","中间加工待识别","未聚组","dataset:c068faabef5c1265f552c9dc8c7acd4f88a685b3ff46d87544746b4a30ae3ea7;dataset:01363191b56debb8566d60b8dfecf2010092eb8e24ac2251896ead2b708a99a8;dataset:ea13700b2ea673c78faf939fe9d42a6bd44807c4f225628c84b1e10dcf5ceceb","dataset:3e9e28c1531aad8ac740f9d653476d05e5e5a39335df49c52b1a2a6ab3aeb1c0","3","1","多来源或计算线索","a98e378702f4953de6af6cfed979d07eb37b146c5f02ef295a699e5108971374","读写为任务级观察；不将全部输入输出两两解释为因果"
"123593","dm_index_n.grp_cust_open_gem_flag_tagdim100723","中间加工待识别","未聚组","dataset:c068faabef5c1265f552c9dc8c7acd4f88a685b3ff46d87544746b4a30ae3ea7;dataset:400302bcf7daa666c67e32eacbeb75fc06273483bebfc271e2a2bcb604fdd1cc;dataset:ea13700b2ea673c78faf939fe9d42a6bd44807c4f225628c84b1e10dcf5ceceb","dataset:d5dae19c22f653f869d189c249e57825a3614190d63660a8936d838859a1a0aa","3","1","多来源或计算线索","61b1bd26d6d793c75524176aae62879bd176e31a3ece98d11bd2a757bbbcc5cc","读写为任务级观察；不将全部输入输出两两解释为因果"
"123597","dm_otc_n.nds_oversea_listed_opt_quot","中间加工待识别","未聚组","dataset:8dc647b91b69fd45145e39739357f7443e68bc2a1b79a2aac2637531d8d6bd17","dataset:58eb2941ebd83f54a16249de9c8938492d9bf7267cb297dcae319ddb3568d83c","1","1","未见复杂算子线索","fd7067a0f0cc175b937c61436c19c185661139c84bbf41babf75b6922f5436d7","读写为任务级观察；不将全部输入输出两两解释为因果"
"123668","dm_otc_n.otc_income_vchr_trd_dtl","中间加工待识别","K069","dataset:5d905e211836308c80b9408f400ad51dce1daced3da5f0314b9e631adf319c30;dataset:87bb0c983bbd36efbb7599b806d1e6cf6427317bbf474cd3a1ae3e191638d224;dataset:a67be974b8f8454ddbd420cfb9e49b0d02dce524ce5407c589187c268dd5a432;dataset:39c0e70b0ddcd865723236545c40524e930b9c32c3967211005b1689f2ab1968;dataset:17d719fe55b2f3715f779e4ee9abae6512d3afed242337e8de4fdb8f4c907e19;dataset:e4b3adf0b6ff37620a08c69009d1d80e6d37a0148814261f0adc2418edd6b23d;dataset:2eb2a33c62057a1e01375519b9e6c34ad4eabe5f525dd5f6b073fade8163badf","dataset:dc5407042ec80d0fb6e5c41a0e5aa69ec21b27d92ea1d7ade0a1a3e531263c70","7","1","多来源或计算线索","837cad4071ec5939046320d9a798d028c0ea417ad09aa28d56906e14a0fac466","读写为任务级观察；不将全部输入输出两两解释为因果"
"123712","dm_index_n.grp_cust_open_sz_mhs_flag_tagdim100724","中间加工待识别","未聚组","dataset:c068faabef5c1265f552c9dc8c7acd4f88a685b3ff46d87544746b4a30ae3ea7;dataset:4c726630c4e2d4f06d31074d02ddcb414a59dbe516a678546f58c8dd8d467401;dataset:ea13700b2ea673c78faf939fe9d42a6bd44807c4f225628c84b1e10dcf5ceceb","dataset:0c5ca481cad5dca61a9d7e8582b33747c0a4ddbf0547d3305ccbced0a3d6f38f","3","1","多来源或计算线索","36f174e252172cc7a35ff52327bc4ffc1057e1f5deacd113fe181a6d347e71ff","读写为任务级观察；不将全部输入输出两两解释为因果"
"123713","dm_index_n.grp_cust_open_sh_mhs_flag_tagdim100725","中间加工待识别","未聚组","dataset:c068faabef5c1265f552c9dc8c7acd4f88a685b3ff46d87544746b4a30ae3ea7;dataset:4c726630c4e2d4f06d31074d02ddcb414a59dbe516a678546f58c8dd8d467401;dataset:ea13700b2ea673c78faf939fe9d42a6bd44807c4f225628c84b1e10dcf5ceceb","dataset:b60ad62042f057b4fc11bc1edd51c561baa3ed5b56dd462da13b02579c73a032","3","1","多来源或计算线索","e1bada86d71d829ccf08b94e86c17468df708063431551d02d338688d7aa8538","读写为任务级观察；不将全部输入输出两两解释为因果"
"123776","PDATA_N.T98_OTC_TRD_CUTP_DMS_INFO","中间加工待识别","未聚组","dataset:5ae63b1571562da6b312951da1502799db1864df676a7975d1bba3482b707f6a;dataset:aa6bc0cb785d74be087d7df8cb9d8238813db7c423d3d52eea7cb7c4a6dcde4d;dataset:cdc417deb302c596c9beb7c14af7d68196b6e713561b66b7c21861b7aad28aee;dataset:d7f2062d76bf74e2d4262950c795e6a946b271af41c303b8e9b33f51faae5847;dataset:1562610600d6f7f96a8b5e99397de042e4fb0d986e3cde15be0ea47551afac21;dataset:87bb0c983bbd36efbb7599b806d1e6cf6427317bbf474cd3a1ae3e191638d224;dataset:4db8aa55ce40db06353dbe35858ca5eefae93df348e25de00ead4721dfb2b94f;dataset:d4e6292482cfcdf197a51da17a4ed01b6a65cca9711f5c3a31e8a5d979962a69;dataset:44da04a3f7d4b8df59e8037797ebdd586f5e44361bed5a46131da7541dff4db2;dataset:47068ca5ac59a4633ea61c850015efe34dd8522affa8eb38101d20d31ef99017;dataset:e0698fed5237cdfe445b0f70176989ad287ba711c3790da53404cb832fd17965;dataset:f3220d17adb7ad0f6af98219cb6f23d95aef21d31d05d485365086740340522b","dataset:6733e8f57705f794074972d8329fa1c90d86e43f53587186ebf5f4ab5677ac20","12","1","多来源或计算线索","30a0e68dd63fbafa9ed12183357de60049ef2cf05b37cc94e2317465d991e9bd","读写为任务级观察；不将全部输入输出两两解释为因果"
"123781","PDATA_N.T98_OTC_TRD_COMP_INFO","中间加工待识别","未聚组","dataset:f322d64cc13f2c1fedf2c1d26bc3f5dbf17e636b8ef92b75b28867c45f417aed;dataset:e2b739b64af71674a0cde9d4fe61d4528cfa5c4d9de4c0b16251ebbca10f1f3a;dataset:5ae63b1571562da6b312951da1502799db1864df676a7975d1bba3482b707f6a;dataset:aa6bc0cb785d74be087d7df8cb9d8238813db7c423d3d52eea7cb7c4a6dcde4d;dataset:cdc417deb302c596c9beb7c14af7d68196b6e713561b66b7c21861b7aad28aee;dataset:d7f2062d76bf74e2d4262950c795e6a946b271af41c303b8e9b33f51faae5847;dataset:87a207f7e721fac0ce94717ff9924dfc9a60e3db649cfdbcc09c5dd223d10e3e;dataset:23fbfd96ecf0ea0418a64fefb92444d4094482bc7240e5dccfc72eb3bf415d54;dataset:f71ed2df603c69558c7effb4b700bf8461eb35fbeaeac7e58d1db4b6abb13b4b;dataset:7ac42558fef06b1fd2fb083947bc3874a9851ff1ec7490ab3317346efecd9ccc;dataset:d4f6b955d172f20db142a44064afc6aa96dd4611841f24686af738404d421695;dataset:71971a99b87b0481d0a8790abc33720ffa263533e9b532f22e3efb5b53846140;dataset:50dbf608aa591e980b98729a272bf5cf4afd1dbd1c1ae6346b38979e6d80c027;dataset:9c215566aa8c392fba61fcd382887491c5f1a4a899758778008ccb503aa29359;dataset:5a5caef0289d22c7e3f34c3fb23f11ced5ca7ed35d22726c3bb48d046a2cf559","dataset:7f7b8e5d23887635564cfea381a81e49fa5dd286b5de140608c2ff95e901b4df","15","1","多来源或计算线索","b8bda7d96bb39c7136d563554b6b2851c7f979e1a68245f162b73f45f8e2ec6b","读写为任务级观察；不将全部输入输出两两解释为因果"
"123795","PDATA_N.T01_PTY_EMP_RELA_CRM168","中间加工待识别","未聚组","dataset:1a3dacafa450f2ef7a418601c4120a285b5d9d8fc7782ac1c2aff3935aaefb24","dataset:3bf85551621bf99db1137b80218a46d2a331bba310593c5cb7c9d0ffe876b833","1","1","条件转换线索","2c71302d8cabc44bf12479beaf8c55445911eec463c79394fb649ec1d2e81e22","读写为任务级观察；不将全部输入输出两两解释为因果"
"123978","PDATA_N.T01_PTY_LBL_INFO_CRM157","中间加工待识别","未聚组","dataset:49409f25438ee8fe9ba1834762668e101ff393cc5835991194653cfaa27850da","dataset:d2d497b780ae67230a27548b7a6b7c08b4e5b6e00fa382c872bf85fcc2998f35","1","1","未见复杂算子线索","cd88e1d0d51b5a395c2123e1fe6f9f422b96a24b8248a82b37834485fd2c81d8","读写为任务级观察；不将全部输入输出两两解释为因果"
"124177","dm_index_n.index_grp_newcust_page_view_times_30d","中间加工待识别","未聚组","dataset:c068faabef5c1265f552c9dc8c7acd4f88a685b3ff46d87544746b4a30ae3ea7;dataset:2efbaf138527897d4e9245e05bcac3b10dd10f27cbfa1af086af88eaaa1d453e","dataset:4a36be4bf9e79ed2c1ba626a417b6ff29caa7cff6dfad3087e9a46bf81957350","2","1","多来源或计算线索","0ec64ce99cd9dd9d7f0815a94645b2514455a1819328a81542e088c176d32ccc","读写为任务级观察；不将全部输入输出两两解释为因果"
"124561","PDATA_N.T98_OTC_OPT_COMP_EDAY_PRVS_FEE_TIT226","中间加工待识别","未聚组","dataset:ed37459cabf78f4765c168763f9577211a232fa04b2cf1906d2e64e97607c849;dataset:14f76ea2f8842ca5cfa752d797e0303b6c08829ede69579e45dc6c72d66a3ab2;dataset:4d5cb2ecd7735c5dcf9d2b0896e515c46ea4c16f8e5fba8b85b79bbd72fd7be0;dataset:e30751067f050e5f33efce2beb804624d58c355f9bebd84c69487a5ddb4bd300","dataset:6b1490ad768140a600e0afc1cbec354bc721de5e8d17c66f7e8d03bbef699adb","4","1","多来源或计算线索","b4b711a776a0376db77a1114fffd1595610ce4a579b908fc85195255e93272b8","读写为任务级观察；不将全部输入输出两两解释为因果"
"124563","PDATA_N.T03_OTC_OPT_COMP_BARR_PRIC_ADTNL_INFO_TIT219","第一模块文档命中（仅折叠生产侧候选）","未聚组","dataset:3fd51583c4e33b94bdf5dc4b43175fe170a52d862e1bcb50344b1cc2dc29baf3;dataset:cf5dcc9bb3733cd04fffcd16bf854cd3dff4b11c9749c17a1688e2c1b56d9b3f","dataset:5caec13eccd6c5ff29302d8dd615fd34b77a63ce84d34f9c1373ae57119e8f29","2","1","多来源或计算线索","bbff95b5194d6ddd121a89700bfd0edb3789d50712fe4d1530bbcf639078938a","读写为任务级观察；不将全部输入输出两两解释为因果"
"124564","PDATA_N.T05_OTC_SWAP_COMP_HOLD_CHG_DET_TIT215","第一模块文档命中（仅折叠生产侧候选）","未聚组","dataset:f1b58025a73f324cf02e2ec255048a1c5e510a00195ad4bb39fdadb76f486ee6;dataset:873d0c7a43d9d5049eff6962ce38045eb0a4e27ed22edf8a69a135038ad65bef","dataset:f64da54275544be64ad4f429c65fb309e117af6e25d2c88733487c80c41aa6e8","2","1","多来源或计算线索","697125f92c08893d64a29c0058446baac2863bdd86d195df3745bf8196b7e77a","读写为任务级观察；不将全部输入输出两两解释为因果"
"124565","PDATA_N.T05_OTC_COMP_DURA_CHG_EVT_TIT229","第一模块文档命中（仅折叠生产侧候选）","未聚组","dataset:7f55c5cc469bc01efa578180185ce1881333c24fbf7209905d6a61ad0bee4bb5;dataset:71971a99b87b0481d0a8790abc33720ffa263533e9b532f22e3efb5b53846140","dataset:e6b67c0fc34ddfbadb97e4bbe7493b375c09386340e2e5bca62dcf7c3b2f625f","2","1","多来源或计算线索","0061d83c937092c67e1978d440d389927df0144a47f25fd207246b0082263687","读写为任务级观察；不将全部输入输出两两解释为因果"
"124566","PDATA_N.T05_OTC_COMP_DURA_CHG_EVT_TIT230","第一模块文档命中（仅折叠生产侧候选）","未聚组","dataset:e3a03db788d798ae48c887e4ea13b782bb4fda56f1970a3020051a04cb555746;dataset:71971a99b87b0481d0a8790abc33720ffa263533e9b532f22e3efb5b53846140","dataset:e6b67c0fc34ddfbadb97e4bbe7493b375c09386340e2e5bca62dcf7c3b2f625f","2","1","多来源或计算线索","6cc169ee5571e11ee709651e9c7cc3eb8a25863cbef83ea1b472e814c006baf2","读写为任务级观察；不将全部输入输出两两解释为因果"
"124737","dm_otc_n.compliance_officer_info","中间加工待识别","未聚组","dataset:f2d368159fd3f209247f97922cedcc01ae23319e8efb1a9cb4dfda223a0ef9f1;dataset:19e174d2b7a471abf021abff54dec78af5c7a10cc175b999a0d2c43bae031649;dataset:e292b8f7a2b608525005f1b17c8dce406bec76971d1b7cb0f5210437d5ba9289","dataset:3d7a0a0e61209c553e89c8193f30bd79c4658d40b10c8e632b2ee0834664bdcb","3","1","多来源或计算线索","16d210bb02599d0a23d81682eb9e03d204a37ce4105346b685bd409f90bcc8d4","读写为任务级观察；不将全部输入输出两两解释为因果"
"124870","PDATA_N.T00_TIT_S3_ATTACH_INFO_TIT221","中间加工待识别","未聚组","dataset:9d00e0390bfdd3fc192a6fade55d8ec0fbbd864d27dc109645bdfb9b4186e2ae","dataset:7d8bc8f2c7148eef0cf7963ddb7f8aabbb7191de8fad8542a2dcfac240ef4577","1","1","未见复杂算子线索","25b717b425405948354f0a4bbbe8f56bf5253a83465b6387a125925974bdc1b7","读写为任务级观察；不将全部输入输出两两解释为因果"
"125380","pdata_news_n.t02_ira_fixing_repo_rate_XIR_tir_series_grp02","中间加工待识别","未聚组","dataset:9aba9c1c6dc1600cd99572617f127e592eb132db20be5804c91e5f850b32d0c2;dataset:d1d317cd9977de850494e7de333613711dc9d5f0343bcf41f687737495ed186c","dataset:1b7cda6934cc6e4e183088d94e3aae0050ff4215456ea59a3a67fcd16c984ec4","2","1","多来源或计算线索","ae7211e0aa89359bd6414c97c3c2e6c3454a745e271db8b43e0509374dca2cd3","读写为任务级观察；不将全部输入输出两两解释为因果"
"125474","dm_index_n.grp_tag_client_Whth_Used_Rsrv_Purch_Ipo_tagdim100833","中间加工待识别","未聚组","dataset:c068faabef5c1265f552c9dc8c7acd4f88a685b3ff46d87544746b4a30ae3ea7;dataset:c41cdb71d78e6b818f5cdf3e2f0f0267cb9826c8c7ec6a7a9650c13362b7f165;dataset:ea13700b2ea673c78faf939fe9d42a6bd44807c4f225628c84b1e10dcf5ceceb","dataset:97a6b22bc8f8e18ab32f2fbd746d61c68065c44cb38c956c005ec458cfb6c133","3","1","多来源或计算线索","1ceac3630ac39b305f5d580b23ac95eeb75c489e98cd2ef3515b36af47ba255f","读写为任务级观察；不将全部输入输出两两解释为因果"
"125666","dm_index_n.index_grp1_10to25apd_net_ast_aft_fst_pos","中间加工待识别","K075","dataset:c068faabef5c1265f552c9dc8c7acd4f88a685b3ff46d87544746b4a30ae3ea7;dataset:a7734790704b775abd55d50f4eb9c2ebe7ba20cfc24ee149a848e180b49fab2a;dataset:3775b1ffc1ffdbaedf344b833f7f162cea1317a69622695e994907d5e523b24a","dataset:e3c51ee42fd9fe36ebfdf020ff8c93785bc7452a365d7a7f4b56070395d5653b","3","1","多来源或计算线索","9458247cb27259fa430df40bfed7bbc03baff15df263efc08b7a793b54861e47","读写为任务级观察；不将全部输入输出两两解释为因果"
"125754","dm_index_n.grp_tag_client_Whth_Only_Purch_Ipo_tagdim100835","中间加工待识别","未聚组","dataset:c068faabef5c1265f552c9dc8c7acd4f88a685b3ff46d87544746b4a30ae3ea7;dataset:1bacb67dd88ac9120785c0a15c26003bf41badde353ccab66358d20d03e5e338;dataset:aedd1893e8f928f76929f735e09afed436c8731676fd2a529eb176e2f8e6c71a;dataset:ea13700b2ea673c78faf939fe9d42a6bd44807c4f225628c84b1e10dcf5ceceb","dataset:aaddc852f9def769439cb3ff69b39d93cf8a0be2041236e611f47ea9dc4fd35e","4","1","多来源或计算线索","086e423163017bb388efa0a03d6ff229e03e25219fab4af58e0b4e7b06758dee","读写为任务级观察；不将全部输入输出两两解释为因果"
"126176","dm_otc_n.settle_cfg_gf_tunitstock","中间加工待识别","未聚组","dataset:2e3e70ee2216803759d1f25ef3cde0cf9169909f12907fe7d8c761b582249b48","dataset:d6aff970de604623d055e0b32d32007e9dd3b27c91e6c1edb492171964a7b1ee","1","1","未见复杂算子线索","cb8368681a9c908c86550467c781d4fea044ba3a646d6488ff0ae10854fd4fc5","读写为任务级观察；不将全部输入输出两两解释为因果"
"126200","PDATA_N.T03_OTC_OPT_COMP_CONF_PRIC_TIT218","第一模块文档命中（仅折叠生产侧候选）","未聚组","dataset:3718c068fce597c50df49e8e4cda58cbe42a0e66d4c9d5560dcd805e5ebd4c4f;dataset:cf5dcc9bb3733cd04fffcd16bf854cd3dff4b11c9749c17a1688e2c1b56d9b3f","dataset:afaceeb7dbc281d1c839f939370d728ccca4863a3616e0e0f1c15e0af713acc5","2","1","多来源或计算线索","522e04512d1d76501f5f4116b931058d801eebce498d8fe6c303e6aceed8e117","读写为任务级观察；不将全部输入输出两两解释为因果"
"126217","dm_index_n.index_grp1_Mval_Otsd_Tdy","中间加工待识别","未聚组","dataset:a850271867068d4f62c8727191a2d342fb660a790972b93623f326aea433ba2e;dataset:1bcedb4d022b1ede8f946e73f95fa883546e00e8b7364159232968b00f91e835;dataset:2eb2a33c62057a1e01375519b9e6c34ad4eabe5f525dd5f6b073fade8163badf;dataset:e4b3adf0b6ff37620a08c69009d1d80e6d37a0148814261f0adc2418edd6b23d;dataset:c068faabef5c1265f552c9dc8c7acd4f88a685b3ff46d87544746b4a30ae3ea7;dataset:674cef806233caddd59d9a54cbf09ca2d296e5b51fa4e70d027099936b292ffc","dataset:d4d82a61c91ba7bdb9fabb2d2d1b7f95a0b00a5da834503fbff5aa3c296c8503","6","1","多来源或计算线索","f2e8e6f5c38f7c522943d0290ea39d2aee891b33f007510deff099d62eb0faa4","读写为任务级观察；不将全部输入输出两两解释为因果"
"126962","dm_otc_n.settle_cfg_gf_secu_bal_f","中间加工待识别","未聚组","dataset:a9a3982daa0c2783db49d728ac3c17b346a826a49da04dd43550b8ffad737966;dataset:57ec47d224364957d87f95e64eb3bb8de6446c13e9f910da218b7415d6d93d9d","dataset:c179c3de5784da0600e0118cc663f610bb1a6192ad72b800757abd30715bfa07","2","1","多来源或计算线索","310e0f740db0bd1e615a42e9cad09ffaa5658d9466a9ea8e919e65ebc10b0a1c","读写为任务级观察；不将全部输入输出两两解释为因果"
"126964","dm_otc_n.manage_t_report_f","中间加工待识别","未聚组","dataset:41fe8d57e94d5975ba3d022e177b2913b34476db9d8aa9773ca5fe63e1245e28;dataset:57ec47d224364957d87f95e64eb3bb8de6446c13e9f910da218b7415d6d93d9d","dataset:971c24b12e5c607a3c2eade52e1a2932902cae083101da478eb2f206378a7be4","2","1","多来源或计算线索","fca6e4731be59ae4276462695a462f7730bac2d438a781c8641d46560dee0b90","读写为任务级观察；不将全部输入输出两两解释为因果"
"126969","dm_otc_n.otc_deri_inc_rdw_quat_rpt","中间加工待识别","未聚组","dataset:ac80bdd6e07e477c93a8df146a5a30e2969a335ba2c9e038eae0800caac7dbc8","dataset:bfb3f2fa5b9f115a4e9f1b377625a12c0417cadbe737a5ef43183125b2718efb","1","1","条件转换线索","d394dcf9672fcd31375d600b5e08d7862f07841c3a49e126f02e4e5726070fb1","读写为任务级观察；不将全部输入输出两两解释为因果"
"127023","PDATA_N.T04_INR_ORG_CLAS_H_PAS014","中间加工待识别","K029","dataset:efa2154cd5ce12a878dc38fd0b6afadd1c9f265354d6cd0d18e1b11c09013b2a;dataset:8c0592a1b30a84b640548bd540d7b2691afbfc09b00c527169e793be68bd875f;dataset:71971a99b87b0481d0a8790abc33720ffa263533e9b532f22e3efb5b53846140","dataset:cf0236b336a2497c749395176ba54d19e4fc1d3af51aa0623481c40763c5e506","3","1","多来源或计算线索","8f8fe68d8cd9fa794736b7c522e7b031ccee39d0e454ae9b8f9ec0a0a11be695","读写为任务级观察；不将全部输入输出两两解释为因果"
"127202","PDATA_NDS.V_CONFIRMATIONATT_A1017_OTC","中间加工待识别","未聚组","dataset:71ac1ec3b7da1a08b40358d6e4c00ef0e53d821961dda422791bf2edd6552656","dataset:0ba8ae63a86cf6d2d259ffdd402096e50a13a5e70f12a952bd9467617667f59e","1","1","多来源或计算线索","67e3e3eac043fead150960cddc85ab7c500a65c81d3e50b8e9f5a9ad61a9d0e1","读写为任务级观察；不将全部输入输出两两解释为因果"
"127223","PDATA_NDS.V_SWAP_EQUITY_PAYMENT_TP_A1016_OTC","中间加工待识别","未聚组","dataset:fbed54a7bff8b3e7c23123a6fa5300ec27ad54edcfd78f5f06992b7c7169ffce","dataset:5c3e63ee07d53821038d3c6c80a4da5b39d57c61cf5cb7cafc022adbe52cee9c","1","1","多来源或计算线索","f873b7d7fac79bdcfacbbf06c4bedcaa1b9aa56fddee19d4f676b720eea4519d","读写为任务级观察；不将全部输入输出两两解释为因果"
"127236","PDATA_NDS.V_SWAP_EQUITY_PAYMENT_A1016_OTC","中间加工待识别","未聚组","dataset:8e63b9859410a18424444deb5590844018c22f8ae4a4a33c94b49561ac189aa2","dataset:6c6473035653cd60fb80445c6858d1774dde77f3df60648a05e4b44fb9548432","1","1","多来源或计算线索","6d27ceb57061a788a16931705c7945cd6bf2e81699edc1731f15cbcbd9662b77","读写为任务级观察；不将全部输入输出两两解释为因果"
"127327","PDATA_NDS.V_SWAP_LIFECYCLE_POS_DT_A1006_OTC","中间加工待识别","未聚组","dataset:b4586b481ef6011e4bcd9b1df55b08b403a55984a919872d217567d2ba68c490","dataset:6b94ac7d7fb316e7b65fb9ab399c0036779042c4f930911095372331ca42f398","1","1","多来源或计算线索","eb3091c6abc26eec47721bb836e2fc311b698a2eab30691ff17abc92f87e7475","读写为任务级观察；不将全部输入输出两两解释为因果"
"127335","PDATA_NDS.V_SWAP_LIFECYCLE_A1006_OTC","中间加工待识别","未聚组","dataset:1c2427e69cbe25f712e64e78470c741a5ad5fad96df08e9e228aec498feb0824","dataset:3aa17fc8a61c4976d6de338fbc6d6b324654556a1232a64b796b7b9ff6fd941c","1","1","多来源或计算线索","b97cf05b874dc8fd1bf8c6f64ff27026e5e6355d09d413fea575a10b97a2639b","读写为任务级观察；不将全部输入输出两两解释为因果"
"127411","PDATA_NDS.V_SWAP_COLLATERAL_A1005_OTC","中间加工待识别","未聚组","dataset:e85ca9f0845a7cd012e29e46e1e82e2b543e08cf5e6aa3c523c797d5658cb542","dataset:d9bf7b5a2545adecb22889321d2ba8d5b04e24bd2f1fc92a94c2badd33fd4f16","1","1","多来源或计算线索","ed6fdcd7a724455d6307940aef6076475b1e05fed90d0fee8592c1eaab4739d2","读写为任务级观察；不将全部输入输出两两解释为因果"
"127680","PDATA_NDS.V_SWAP_CONFIRMATION_A1005_OTC","中间加工待识别","未聚组","dataset:6b9a9e74283218488ff5ac5f71367210af62f6112cf10e1e7e3b2bf67a80de1e","dataset:d17c720c361e30f39fa71ae398703121b2c651f9e0d8f71fe4e9bcdba5e36968","1","1","多来源或计算线索","4658e0b0b4ebea2786a2d9b54213406ba028959cd7a4b24bb563512f92a1f9c0","读写为任务级观察；不将全部输入输出两两解释为因果"
"127681","PDATA_NDS.V_SWAP_FEE_PAYMENT_A1005_OTC","中间加工待识别","未聚组","dataset:8da032295d8d2c67b559cbaf5632c20fb795daa595ea74c38cf2040e063f2c80","dataset:efdbb2ca3b6cf7970e68512fc5ffb1fe5a2ebc3d32d5e2c731e56eadc25edf40","1","1","多来源或计算线索","c81ab2d04a1e5f363899eb3e9800960636c0e0737c717a21108423a6526383eb","读写为任务级观察；不将全部输入输出两两解释为因果"
"127897","pdata_news_n.t02_scr_lbl_TIT_ref_instrument_tag","第一模块文档命中（仅折叠生产侧候选）","未聚组","dataset:068e80d924ecb0bc6acd5cf0080cbefaf85ccda4a1cc57a50025b9d59d9a3453;dataset:d1d317cd9977de850494e7de333613711dc9d5f0343bcf41f687737495ed186c","dataset:56e52a79b19d310d7afe95e2f8c859a36707af639a35e746204711992631162f","2","1","多来源或计算线索","7f96f58595cee07f129fd57294959516b74a7666e4a0e870aa680a93d5250597","读写为任务级观察；不将全部输入输出两两解释为因果"
"127938","PDATA_NDS.V_REPORT_OPT_UNDERLYING_A1004","中间加工待识别","未聚组","dataset:9e856b67d5ccab324388894d5dd383a6b34de90d3475b38077d7ebe2f742bb76","dataset:c3cbef4ec92899c81b5ab00e819fdebb144ec916939283c203b111776349a97c","1","1","多来源或计算线索","81e978ceb7ba72077c5241cda2aa4c095b20b86d3406f901ce06c3aaef59e36a","读写为任务级观察；不将全部输入输出两两解释为因果"
"127953","PDATA_NDS.V_REPORT_OPT_AIRBAG_A1004","中间加工待识别","未聚组","dataset:5dab18ae720749b6c1986314923a8649fc735fa43d68fe8785e0e4b811ff32aa","dataset:06246aa4c0efe7232e57551ace63b726e2dad20d8936d3198fe22cafb18cc499","1","1","多来源或计算线索","506f005cc45f9f8cdeb2538eeb260af896753d08595f181b323e23af26a5d371","读写为任务级观察；不将全部输入输出两两解释为因果"
"127954","PDATA_NDS.V_REPORT_OPT_AUTOCALL_A1004","中间加工待识别","未聚组","dataset:b06a21cb3fd89c867c7880c6087f89fdee8b5dd0f9e441651ccf6012309ae783","dataset:4a563e2d46e9cf782ae7585be89b703ba7bd0cc514e1d5844fe5e1418127a23b","1","1","多来源或计算线索","719e0574ba8754363dabe4c52b7e7049e588b56b9a888ccdfcb9f045ca13d01a","读写为任务级观察；不将全部输入输出两两解释为因果"
"127962","PDATA_NDS.V_REPORT_OPT_BARRIER_A1004","中间加工待识别","未聚组","dataset:49429f52e3fcada96c142bb4604e42acc00cbf764d5fcaeda4eb7b89fe424a34","dataset:4cfa6bf6e18a5976d97f74a1f65f1f99f7554f5108d0c4501126be0c17f71feb","1","1","多来源或计算线索","28ac50d918c6ffea49d7fa63093790e67b19f75c432b4ed29d0480ce0549a113","读写为任务级观察；不将全部输入输出两两解释为因果"
