consumerTaskId,taskCategory,table,readOccurrenceId,identityStatus,partitionPredicateStatus,evidencePath,projectionPath
"104454","sparkIndex","dm_index_n.index_grp_highage_cust_oth_auth_year_erlst_date","task:104454:statement:0:relation:root.casttable.clbk.m1.e.read.index_grp_highage_cust_oth_auth_year_erlst_date","CONFIRMED","LITERAL","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\104454\versions\07bfa22daa1a7b881efecbd70391d162ebdc09b00bb64aff338fa2087806556b.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\104454\versions\07bfa22daa1a7b881efecbd70391d162ebdc09b00bb64aff338fa2087806556b.json"
"110695","hive2postgre","dm_om_n.wt_tcust_oth_comp_stat_mon","task:110695:statement:0:relation:root.read.wt_tcust_oth_comp_stat_mon","CONFIRMED","NON_LITERAL_PRESENT","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\110695\versions\e77b93fdab63a62bc907c47f54e541339f1079d486b0f1c73ff3daf592a11e22.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\110695\versions\e77b93fdab63a62bc907c47f54e541339f1079d486b0f1c73ff3daf592a11e22.json"
"112088","sparkIndex","pdata_n.t03_intel_cond_ord","task:112088:statement:0:relation:root.casttable.sub.read.t03_intel_cond_ord","CONFIRMED","NON_LITERAL_PRESENT","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\112088\versions\1371accffc6315c0989b12cdf8d12afaf152dc7758e4a065b89d60c8478d10ea.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\112088\versions\1371accffc6315c0989b12cdf8d12afaf152dc7758e4a065b89d60c8478d10ea.json"
"121469","sparkIndex","dm_index_n.index_grp_client_secu_mkt_val","task:121469:statement:0:relation:root.casttable.t2.a.setop.b0.read.index_grp_client_secu_mkt_val","CONFIRMED","LITERAL","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\121469\versions\6087056616acb0bcbae5daa16958146858b1a95e3be6cdb6e2d7472d6c0a0155.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\121469\versions\6087056616acb0bcbae5daa16958146858b1a95e3be6cdb6e2d7472d6c0a0155.json"
"121469","sparkIndex","dm_index_n.index_grp_client_mkt_val_off","task:121469:statement:0:relation:root.casttable.t2.a.setop.b1.read.index_grp_client_mkt_val_off","CONFIRMED","LITERAL","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\121469\versions\6087056616acb0bcbae5daa16958146858b1a95e3be6cdb6e2d7472d6c0a0155.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\121469\versions\6087056616acb0bcbae5daa16958146858b1a95e3be6cdb6e2d7472d6c0a0155.json"
"121469","sparkIndex","dm_index_n.index_grp1_ast","task:121469:statement:0:relation:root.casttable.t3.read.index_grp1_ast","CONFIRMED","LITERAL","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\121469\versions\6087056616acb0bcbae5daa16958146858b1a95e3be6cdb6e2d7472d6c0a0155.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\121469\versions\6087056616acb0bcbae5daa16958146858b1a95e3be6cdb6e2d7472d6c0a0155.json"
"125761","hive2oracle","dm_crd_n.wt_mts_qual_pcus_info_s","task:125761:statement:0:relation:root.b.read.wt_mts_qual_pcus_info_s","CONFIRMED","LITERAL","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\125761\versions\fda1ec223e4159b62563d81b964d6a319bedd3fe3c1dd38bf0e389a283ee07d4.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\125761\versions\fda1ec223e4159b62563d81b964d6a319bedd3fe3c1dd38bf0e389a283ee07d4.json"
"125761","hive2oracle","dm_crd_n.wt_crd_potential_cust_dev_label_s","task:125761:statement:0:relation:root.c.read.wt_crd_potential_cust_dev_label_s","CONFIRMED","NON_LITERAL_PRESENT","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\125761\versions\fda1ec223e4159b62563d81b964d6a319bedd3fe3c1dd38bf0e389a283ee07d4.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\125761\versions\fda1ec223e4159b62563d81b964d6a319bedd3fe3c1dd38bf0e389a283ee07d4.json"
"127360","hiveTask-2.0","pdata_n.t98_otc_trd_cutp_dms_info","task:127360:statement:1:relation:root.read.t1","CONFIRMED","NONE","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\127360\versions\32d78f44ba82ad0b91976af702f98439a8de231b425e45ee865e13fe22931a11.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\127360\versions\32d78f44ba82ad0b91976af702f98439a8de231b425e45ee865e13fe22931a11.json"
"127360","hiveTask-2.0","dm_scrm_n.wt_sign_dmb_info","task:127360:statement:2:relation:root.crm.t1.read.t","CONFIRMED","LITERAL","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\127360\versions\32d78f44ba82ad0b91976af702f98439a8de231b425e45ee865e13fe22931a11.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\127360\versions\32d78f44ba82ad0b91976af702f98439a8de231b425e45ee865e13fe22931a11.json"
"134690","sparkIndex","pdata_news_n.t02_oth_assm_busi_plac","task:134690:statement:0:relation:root.casttable.st.read.t02_oth_assm_busi_plac","CONFIRMED","NON_LITERAL_PRESENT","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\134690\versions\3c0e4da8b2fd85cd6ae4a4a49e47e3ea3751fc0b61ebd8568abf7c33cc4620c4.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\134690\versions\3c0e4da8b2fd85cd6ae4a4a49e47e3ea3751fc0b61ebd8568abf7c33cc4620c4.json"
"136594","sparkIndex","dm_index_n.grp_tag_client_brk_inc_cust_type","task:136594:statement:0:relation:root.(child-1).t.setop.b0.val.read.grp_tag_client_brk_inc_cust_type","CONFIRMED","NON_LITERAL_PRESENT","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\136594\versions\9da0eea628489e5f40865563c9675325b7809b55ebfe80e55bc8a8d05cd6ec52.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\136594\versions\9da0eea628489e5f40865563c9675325b7809b55ebfe80e55bc8a8d05cd6ec52.json"
"136594","sparkIndex","dm_index_n.grp_tag_corp_cust_organ_cust_type","task:136594:statement:0:relation:root.(child-1).t.setop.b1.read.grp_tag_corp_cust_organ_cust_type","CONFIRMED","NON_LITERAL_PRESENT","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\136594\versions\9da0eea628489e5f40865563c9675325b7809b55ebfe80e55bc8a8d05cd6ec52.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\136594\versions\9da0eea628489e5f40865563c9675325b7809b55ebfe80e55bc8a8d05cd6ec52.json"
"136594","sparkIndex","dm_index_n.grp_tag_client_is_cur_year_mts_valid_client","task:136594:statement:0:relation:root.(child-2).t1.read.grp_tag_client_is_cur_year_mts_valid_client","CONFIRMED","NON_LITERAL_PRESENT","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\136594\versions\9da0eea628489e5f40865563c9675325b7809b55ebfe80e55bc8a8d05cd6ec52.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\136594\versions\9da0eea628489e5f40865563c9675325b7809b55ebfe80e55bc8a8d05cd6ec52.json"
"136594","sparkIndex","dm_index_n.index_grp_become_mts_valid_client_time_cur_year","task:136594:statement:0:relation:root.(child-2).t2.read.index_grp_become_mts_valid_client_time_cur_year","CONFIRMED","NON_LITERAL_PRESENT","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\136594\versions\9da0eea628489e5f40865563c9675325b7809b55ebfe80e55bc8a8d05cd6ec52.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\136594\versions\9da0eea628489e5f40865563c9675325b7809b55ebfe80e55bc8a8d05cd6ec52.json"
