consumerTaskId,readOccurrenceId,table,status,candidateTaskIds,candidateCount,confirmedCount,partitionStatuses,gapReasons
"127360","task:127360:statement:1:relation:root.read.t1","pdata_n.t98_otc_trd_cutp_dms_info","FULLY_CONFIRMED","123776","1","1","CONFIRMED",""
"127360","task:127360:statement:2:relation:root.crm.t1.read.t","dm_scrm_n.wt_sign_dmb_info","FULLY_CONFIRMED","107383","1","1","CONFIRMED",""
"134690","task:134690:statement:0:relation:root.casttable.st.read.t02_oth_assm_busi_plac","pdata_news_n.t02_oth_assm_busi_plac","FULLY_CONFIRMED","114607","1","1","CONFIRMED",""
"136594","task:136594:statement:0:relation:root.(child-1).t.setop.b0.val.read.grp_tag_client_brk_inc_cust_type","dm_index_n.grp_tag_client_brk_inc_cust_type","FULLY_CONFIRMED","217770","1","1","CONFIRMED",""
"136594","task:136594:statement:0:relation:root.(child-1).t.setop.b1.read.grp_tag_corp_cust_organ_cust_type","dm_index_n.grp_tag_corp_cust_organ_cust_type","FULLY_CONFIRMED","137362","1","1","CONFIRMED",""
"136594","task:136594:statement:0:relation:root.(child-2).t1.read.grp_tag_client_is_cur_year_mts_valid_client","dm_index_n.grp_tag_client_is_cur_year_mts_valid_client","FULLY_CONFIRMED","97696","1","1","CONFIRMED",""
"136594","task:136594:statement:0:relation:root.(child-2).t2.read.index_grp_become_mts_valid_client_time_cur_year","dm_index_n.index_grp_become_mts_valid_client_time_cur_year","FULLY_CONFIRMED","103077","1","1","CONFIRMED",""
"136594","task:136594:statement:0:relation:root.casttable.setop.b0.cust.cust_list.asset.read.index_grp1_ast","dm_index_n.index_grp1_ast","CANDIDATE_ONLY","157103","1","0","UNKNOWN","PARTITION_NON_LITERAL|WRITER_PARTITION_UNKNOWN"
"137467","task:137467:statement:0:relation:root.casttable.t1.read.grp_tag_client_is_mts_qual_pcus","dm_index_n.grp_tag_client_is_mts_qual_pcus","FULLY_CONFIRMED","134604","1","1","CONFIRMED",""
"137467","task:137467:statement:0:relation:root.casttable.t5.read.grp_tag_client_is_elig_match_mts","dm_index_n.grp_tag_client_is_elig_match_mts","FULLY_CONFIRMED","110993","1","1","CONFIRMED",""
"137467","task:137467:statement:0:relation:root.casttable.t7.t.setop.b0.setop.b0.setop.b0.read.index_grp1_palprop_stkast_hy_nothremark","dm_index_n.index_grp1_palprop_stkast_hy_nothremark","FULLY_CONFIRMED","167458","1","1","CONFIRMED",""
"137467","task:137467:statement:0:relation:root.casttable.t7.t.setop.b0.setop.b0.setop.b1.read.index_grp1_palprop_stkast_year_nothremark","dm_index_n.index_grp1_palprop_stkast_year_nothremark","FULLY_CONFIRMED","167463","1","1","CONFIRMED",""
"137467","task:137467:statement:0:relation:root.casttable.t7.t.setop.b0.setop.b1.read.index_grp1_palprop_stkast_treyear_nothremark","dm_index_n.index_grp1_palprop_stkast_treyear_nothremark","FULLY_CONFIRMED","167466","1","1","CONFIRMED",""
"137467","task:137467:statement:0:relation:root.casttable.t7.t.setop.b1.read.index_grp1_tr_stkfnd_mth_retandorgcntr_recent_1y","dm_index_n.index_grp1_tr_stkfnd_mth_retandorgcntr_recent_1y","FULLY_CONFIRMED","129461","1","1","CONFIRMED",""
"140633","task:140633:statement:0:relation:root.casttable.a.read.t03_intel_cond_ord","pdata_n.t03_intel_cond_ord","FULLY_CONFIRMED","189432|189434|80256|80257|80258|93518","6","1","DISJOINT|CONFIRMED",""
"143497","task:143497:statement:0:relation:root.k.read.wt_taum_emp_indi_dim_data","dm_om_n.wt_taum_emp_indi_dim_data","CANDIDATE_ONLY","202354","1","0","UNKNOWN","PARTITION_NON_LITERAL|WRITER_PARTITION_UNKNOWN"
"144891","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.cwr.read.t05_wecom_kyc_auth_evt","pdata_n.t05_wecom_kyc_auth_evt","FULLY_CONFIRMED","65920","1","1","CONFIRMED",""
"144891","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.khxx.setop.b0.a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.read.grp_tag_client_cust_sex","dm_index_n.grp_tag_client_cust_sex","FULLY_CONFIRMED","98517","1","1","CONFIRMED",""
"144891","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.khxx.setop.b0.a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.grp_tag_client_rich_cust_flag","dm_index_n.grp_tag_client_rich_cust_flag","CANDIDATE_ONLY","101358","1","0","UNKNOWN","PARTITION_NON_LITERAL|WRITER_PARTITION_UNKNOWN"
"144891","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.khxx.setop.b0.a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.grp_tag_client_is_open_cash_chrem","dm_index_n.grp_tag_client_is_open_cash_chrem","FULLY_CONFIRMED","99207","1","1","CONFIRMED",""
"144891","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.khxx.setop.b0.a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.grp_tag_client_is_sign_qual_promis","dm_index_n.grp_tag_client_is_sign_qual_promis","FULLY_CONFIRMED","95164","1","1","CONFIRMED",""
"144891","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.khxx.setop.b0.a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.grp_tag_client_cust_whth_open_bse_righ","dm_index_n.grp_tag_client_cust_whth_open_bse_righ","FULLY_CONFIRMED","123569","1","1","CONFIRMED",""
