consumerTaskId,readOccurrenceId,table,before,after,reason
"160518","task:160518:statement:0:relation:root.(child-3).idx1.idx0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.index_grp2_cust_astacct_algo_trd_net_cms","dm_index_n.index_grp2_cust_astacct_algo_trd_net_cms","CANDIDATE_ONLY","FULLY_CONFIRMED","FIXED_RANGE_INCLUSION"
"160518","task:160518:statement:0:relation:root.(child-3).idx1.idx0.setop.b0.setop.b0.setop.b0.setop.b1.read.index_grp2_cust_astacct_algo_net_cms_income","dm_index_n.index_grp2_cust_astacct_algo_net_cms_income","CANDIDATE_ONLY","FULLY_CONFIRMED","FIXED_RANGE_INCLUSION"
"160518","task:160518:statement:0:relation:root.(child-3).idx1.idx0.setop.b0.setop.b0.setop.b1.read.index_grp2_cust_astacct_algo_flow_fee","dm_index_n.index_grp2_cust_astacct_algo_flow_fee","CANDIDATE_ONLY","FULLY_CONFIRMED","FIXED_RANGE_INCLUSION"
"160518","task:160518:statement:0:relation:root.(child-3).idx1.idx0.setop.b0.setop.b1.read.index_grp2_cust_astacct_algo_value_added_cms","dm_index_n.index_grp2_cust_astacct_algo_value_added_cms","CANDIDATE_ONLY","FULLY_CONFIRMED","FIXED_RANGE_INCLUSION"
"160518","task:160518:statement:0:relation:root.(child-3).idx1.idx0.setop.b1.read.index_grp2_cust_astacct_algo_vendor_fee","dm_index_n.index_grp2_cust_astacct_algo_vendor_fee","CANDIDATE_ONLY","FULLY_CONFIRMED","FIXED_RANGE_INCLUSION"
"160773","task:160773:statement:0:relation:root.(child).setop.b0.setop.b1.read.index_grp3_org_emp_cstdprd_avgast_aum_mon","dm_index_n.index_grp3_org_emp_cstdprd_avgast_aum_mon","CANDIDATE_ONLY","UNRESOLVED","READ_SCOPE_BINDING_REQUIRED"
"160780","task:160780:statement:0:relation:root.(child).setop.b0.setop.b1.read.index_grp3_org_emp_cstdprd_avgast_aum_mon","dm_index_n.index_grp3_org_emp_cstdprd_avgast_aum_mon","CANDIDATE_ONLY","UNRESOLVED","READ_SCOPE_BINDING_REQUIRED"
"161054","task:161054:statement:0:relation:root.(child-3).setop.b1.read.index_grp3_org_emp_cstdprd_avgast_aum_year","dm_index_n.index_grp3_org_emp_cstdprd_avgast_aum_year","CANDIDATE_ONLY","UNRESOLVED","OTHER_EXPRESSION_OR_RANGE_NOT_PROVEN"
"161152","task:161152:statement:0:relation:root.(child-3).setop.b1.read.index_grp3_org_emp_cstdprd_avgast_aum_year","dm_index_n.index_grp3_org_emp_cstdprd_avgast_aum_year","CANDIDATE_ONLY","UNRESOLVED","OTHER_EXPRESSION_OR_RANGE_NOT_PROVEN"
"165154","task:165154:statement:0:relation:root.(child-2).a.setop.b0.setop.b1.read.index_grp3_org_emp_cstdprd_avgast_aum_mon","dm_index_n.index_grp3_org_emp_cstdprd_avgast_aum_mon","CANDIDATE_ONLY","UNRESOLVED","READ_SCOPE_BINDING_REQUIRED"
